"from","to","Saliency","IntegratedGradients"
"MGAT3","MGAT4B","0.12","0.85"
"MGAT3","MGAT5","0.4","0.09"
"MGAT4B","MGAT5","1.0","0.81"
"MGAT4B","MGAT5B","0.88","1.0"
"MGAT5","MGAT5B","0.79","0.59"
