"from","to","Saliency","IntegratedGradients"
"MGAT3","MGAT4B","0.39","0.5"
"MGAT3","MGAT5","0.64","0.28"
"MGAT4B","MGAT5","1.0","0.77"
"MGAT4B","MGAT5B","0.95","1.0"
"MGAT5","MGAT5B","0.84","0.57"
