"from","to","Saliency","IntegratedGradients"
"MGAT3","MGAT4B","1.0","1.0"
"MGAT3","MGAT5","0.09","0.06"
"MGAT4B","MGAT5","0.93","0.73"
"MGAT4B","MGAT5B","0.51","0.41"
"MGAT5","MGAT5B","0.39","0.09"
