"from","to","Saliency","IntegratedGradients"
"MGAT3","MGAT4B","0.86","1.0"
"MGAT3","MGAT5","0.03","0.08"
"MGAT4B","MGAT5","1.0","0.72"
"MGAT4B","MGAT5B","0.75","0.67"
"MGAT5","MGAT5B","0.66","0.34"
