"from","to","Saliency","IntegratedGradients"
"MGAT3","MGAT4B","0.93","0.13"
"MGAT3","MGAT5","0.94","0.83"
"MGAT4B","MGAT5","0.87","0.87"
"MGAT4B","MGAT5B","1.0","1.0"
"MGAT5","MGAT5B","0.79","0.57"
