"from","to","Saliency","IntegratedGradients"
"MGAT3","MGAT4B","0.69","0.14"
"MGAT3","MGAT5","0.82","0.68"
"MGAT4B","MGAT5","0.92","0.92"
"MGAT4B","MGAT5B","1.0","1.0"
"MGAT5","MGAT5B","0.8","0.58"
