"from","to","Saliency","IntegratedGradients"
"MGAT3","MGAT4B","0.75","0.13"
"MGAT3","MGAT5","0.85","0.53"
"MGAT4B","MGAT5","0.94","0.74"
"MGAT4B","MGAT5B","1.0","1.0"
"MGAT5","MGAT5B","0.83","0.58"
