"from","to","Saliency","IntegratedGradients"
"MGAT3","MGAT4B","1.0","1.0"
"MGAT3","MGAT5","0.26","0.32"
"MGAT4B","MGAT5","0.59","0.43"
"MGAT4B","MGAT5B","0.29","0.41"
"MGAT5","MGAT5B","0.37","0.25"
