"from","to","Saliency","IntegratedGradients"
"MGAT3","MGAT4B","0.18","0.47"
"MGAT3","MGAT5","0.7","0.6"
"MGAT4B","MGAT5","1.0","1.0"
"MGAT4B","MGAT5B","0.97","0.84"
"MGAT5","MGAT5B","0.66","0.29"
