"from","to","Saliency","IntegratedGradients"
"MGAT3","MGAT4B","0.65","0.32"
"MGAT3","MGAT5","0.85","0.63"
"MGAT4B","MGAT5","1.0","1.0"
"MGAT4B","MGAT5B","0.99","0.98"
"MGAT5","MGAT5B","0.81","0.36"
