"from","to","Saliency","IntegratedGradients"
"MGAT3","MGAT4B","1.0","1.0"
"MGAT3","MGAT5","0.27","0.31"
"MGAT4B","MGAT5","0.69","0.48"
"MGAT4B","MGAT5B","0.44","0.45"
"MGAT5","MGAT5B","0.49","0.31"
