"label","mRNA","methy","GNNExplainer"
"ABAT","7.74389982223511","-0.13230000436306",0.15
"ABCA1","13.0932998657227","0.033500000834465",0.15
"ABCB1","10.0818996429443","-0.269400000572205",0.14
"ABCB4","8.0738000869751","-0.418000012636185",0.14
"ABI1","10.4309997558594","-0.464599996805191",0.14
"ABL1","10.7904996871948","0.43419998884201",0.15
"ABL2","10.3650999069214","-0.207100003957748",0.15
"ACACA","9.67140007019043","0.200800001621246",0.14
"ACACB","9.67440032958984","-0.373400002717972",0.13
"ACAN","8.33440017700195","0.181999996304512",0.14
"ACIN1","10.4874000549316","-0.457500010728836",0.14
"ACLY","12.9330997467041","0.16329999268055",0.16
"ACO1","11.5642995834351","-0.482699990272522",0.15
"ACO2","12.2264003753662","0.0094999996945262",0.14
"ACOT4","7.31150007247925","-0.4341000020504",0.15
"ACOX1","10.2417001724243","-0.421900004148483",0.14
"ACOX2","7.04400014877319","-0.0390000008046627",0.14
"ACOX3","8.44799995422363","0.416799992322922",0.16
"ACSF3","8.71240043640137","-0.416500002145767",0.13
"ACSS3","10.2831001281738","-0.170800000429153",0.15
"ACTA1","0","-0.303299993276596",0.14
"ACTB","16.1917991638184","0.0892999991774559",0.15
"ACTG1","15.5451002120972","-0.157399997115135",0.13
"ACTL6B","0","-0.20440000295639",0.14
"ACTN1","12.3325996398926","0.025000000372529",0.14
"ACTN2","2.41589999198914","-0.43529999256134",0.15
"ACTN3","0","0.130500003695488",0.15
"ACTN4","13.2424001693726","0.429100006818771",0.12
"ACTR1A","10.9998998641968","0.350499987602234",0.15
"ACTR3B","6.24009990692139","-0.357800006866455",0.12
"ACTR8","8.45339965820312","-0.447499990463257",0.16
"ACVR1C","4.19740009307861","0.414499998092651",0.13
"ADAM12","9.57540035247803","0.261400014162064",0.14
"ADAM15","11.4827003479004","0.173299998044968",0.15
"ADAM28","9.43150043487549","0.044599998742342",0.14
"ADAMTS5","10.8536996841431","0.344500005245209",0.15
"ADAR","12.5319004058838","-0.399300009012222",0.14
"ADCY1","8.5024995803833","-0.412400007247925",0.16
"ADCY2","5.69309997558594","0.0988999977707863",0.14
"ADCY3","10.3480997085571","0.393799990415573",0.14
"ADCY5","8.38949966430664","-0.31810000538826",0.14
"ADCY7","10.0538997650146","0.119800001382828",0.14
"ADCY8","9.06529998779297","-0.183899998664856",0.15
"ADCY9","9.95090007781982","-0.262899994850159",0.14
"ADCYAP1R1","0.519699990749359","-0.39640000462532",0.15
"ADNP","11.2232999801636","-0.471700012683868",0.13
"ADORA1","3.89499998092651","-0.0209999997168779",0.16
"ADRA1A","3.66770005226135","0.404700011014938",0.15
"ADRA2B","6.25649976730347","0.350600004196167",0.15
"AEBP2","10.0332002639771","-0.463600009679794",0.13
"AFF4","12.3365001678467","-0.0219000000506639",0.15
"AGAP2","7.13339996337891","0.195299997925758",0.14
"AGK","9.05819988250732","-0.403499990701675",0.16
"AGL","9.71150016784668","-0.139899998903275",0.14
"AGRN","14.2160997390747","0.0571000017225742",0.15
"AGT","10.4118003845215","0.0198999997228384",0.14
"AGTR1","6.0359001159668","-0.438400000333786",0.14
"AKAP9","10.0538997650146","-0.482499986886978",0.14
"AKT2","11.1267004013062","0.408399999141693",0.14
"AKT3","9.91829967498779","0.119300000369549",0.16
"ALDH1A3","9.86629962921143","0.386700004339218",0.14
"ALDH3A1","4.23110008239746","-0.332300007343292",0.14
"ALDH3A2","10.6842002868652","0.275200009346008",0.13
"ALDOA","15.7618999481201","-0.269300013780594",0.13
"ALDOB","8.83810043334961","0.416399985551834",0.15
"ALK","1.84879994392395","-0.47749999165535",0.15
"AMBN","0","-0.170100003480911",0.15
"AMDHD1","7.53039979934692","-0.447100013494492",0.14
"ANAPC4","8.32069969177246","-0.345899999141693",0.13
"ANGPT4","4.73260021209717","0.0908000022172928",0.13
"ANGPTL3","8.1983003616333","0.44650000333786",0.12
"ANK1","6.49020004272461","-0.225999996066093",0.14
"ANK2","11.4778995513916","-0.0322999991476536",0.15
"ANK3","10.2740001678467","0.0692000016570091",0.13
"ANLN","9.50829982757568","0.247400000691414",0.15
"ANO1","9.52960014343262","0.229499995708466",0.14
"ANO6","13.6618003845215","0.173299998044968",0.14
"AOC2","4.01590013504028","0.307000011205673",0.14
"AOX1","7.81230020523071","-0.158899992704391",0.13
"AP1B1","11.9974002838135","0.365799993276596",0.14
"AP1G1","11.3475999832153","-0.307900011539459",0.15
"AP1G2","6.78639984130859","-0.412000000476837",0.13
"AP2A1","11.0361995697021","0.156499996781349",0.13
"AP2A2","11.0184001922607","0.27700001001358",0.15
"AP2B1","12.6845998764038","-0.259499996900558",0.14
"AP3B1","10.5046997070312","-0.295500010251999",0.14
"AP4E1","8.68840026855469","0.402099996805191",0.13
"AP4M1","9.16329956054688","0.321000009775162",0.12
"APAF1","9.25949954986572","-0.460599988698959",0.14
"APBB1IP","10.5882997512817","-0.431300014257431",0.14
"APC","10.2855997085571","-0.460399985313416",0.14
"APEX1","11.4086999893188","-0.440299987792969",0.13
"APLP2","14.1809997558594","-0.194199994206429",0.14
"APOA1","0.519699990749359","-0.469199985265732",0.14
"APOA5","0","0.0355000011622906",0.14
"APOB","11.2585000991821","-0.0571000017225742",0.14
"APP","14.9086999893188","0.270099997520447",0.13
"AQR","10.0187997817993","-0.478700011968613",0.15
"ARAP1","11.5473003387451","0.289200007915497",0.14
"ARAP2","8.45870018005371","-0.414000004529953",0.14
"ARHGAP12","9.64109992980957","-0.303600013256073",0.15
"ARHGAP21","10.7026996612549","-0.379799991846085",0.13
"ARHGAP29","12.1108999252319","0.21340000629425",0.14
"ARHGAP30","9.85750007629395","0.0806000009179115",0.15
"ARHGAP5","10.8831996917725","-0.450500011444092",0.13
"ARHGAP9","7.71140003204346","0.257600009441376",0.15
"ARHGEF1","10.0784997940063","0.339100003242493",0.13
"ARHGEF10L","9.71370029449463","0.0581000000238419",0.14
"ARHGEF11","9.59580039978027","0.394499987363815",0.16
"ARHGEF12","12.8872003555298","-0.162000000476837",0.12
"ARHGEF15","9.93690013885498","0.278200000524521",0.16
