"from","to","Saliency","IntegratedGradients"
"MGAT3","MGAT4B","0.8","1.0"
"MGAT3","MGAT5","0.03","0.03"
"MGAT4B","MGAT5","1.0","0.78"
"MGAT4B","MGAT5B","0.74","0.62"
"MGAT5","MGAT5B","0.64","0.3"
