"from","to","Saliency","IntegratedGradients"
"MGAT3","MGAT4B","0.57","1.0"
"MGAT3","MGAT5","0.12","0.03"
"MGAT4B","MGAT5","1.0","0.85"
"MGAT4B","MGAT5B","0.72","0.78"
"MGAT5","MGAT5B","0.61","0.29"
