"from","to","Saliency","IntegratedGradients"
"MGAT3","MGAT4B","0.02","0.8"
"MGAT3","MGAT5","0.48","0.27"
"MGAT4B","MGAT5","1.0","0.97"
"MGAT4B","MGAT5B","0.93","1.0"
"MGAT5","MGAT5B","0.78","0.56"
