"from","to","Saliency","IntegratedGradients"
"MGAT3","MGAT4B","0.3","1.0"
"MGAT3","MGAT5","0.24","0.0"
"MGAT4B","MGAT5","1.0","0.85"
"MGAT4B","MGAT5B","0.81","0.92"
"MGAT5","MGAT5B","0.76","0.54"
