"from","to","Saliency","IntegratedGradients"
"MGAT3","MGAT4B","1.0","0.43"
"MGAT3","MGAT5","0.91","1.0"
"MGAT4B","MGAT5","0.68","0.8"
"MGAT4B","MGAT5B","0.82","0.87"
"MGAT5","MGAT5B","0.59","0.38"
