"label","mRNA","methy","GNNExplainer"
"ABAT","9.87199974060059","-0.119199998676777",0.15
"ABCA1","11.586199760437","0.263200014829636",0.15
"ABCB1","9.40369987487793","-0.238499999046326",0.14
"ABCB4","7.88380002975464","-0.432900011539459",0.14
"ABI1","10.4725999832153","-0.467000007629395",0.14
"ABL1","11.0114002227783","0.382600009441376",0.15
"ABL2","9.79209995269775","0.200900003314018",0.15
"ACACA","9.48589992523193","0.331200003623962",0.14
"ACACB","9.54880046844482","-0.304899990558624",0.13
"ACAN","9.73799991607666","0.165900006890297",0.14
"ACIN1","10.5066995620728","-0.463099986314774",0.14
"ACLY","13.8065004348755","0.174799993634224",0.16
"ACO1","11.3009996414185","-0.481000006198883",0.15
"ACO2","13.0152997970581","0.0366999991238117",0.14
"ACOT4","7.95209980010986","-0.422500014305115",0.15
"ACOX1","11.0186996459961","-0.405099987983704",0.14
"ACOX2","8.47570037841797","-0.0498000010848045",0.14
"ACOX3","8.22130012512207","0.405499994754791",0.16
"ACSF3","8.62329959869385","-0.483399987220764",0.13
"ACSS3","10.1716995239258","-0.151700004935265",0.15
"ACTA1","2.01020002365112","-0.165000006556511",0.14
"ACTB","15.9267997741699","0.170399993658066",0.15
"ACTG1","14.9752998352051","-0.381099998950958",0.13
"ACTL6B","0","-0.414099991321564",0.14
"ACTN1","11.2792997360229","-0.0149999996647239",0.14
"ACTN2","2.67440009117126","-0.424299985170364",0.15
"ACTN3","1.00680005550385","0.212899997830391",0.15
"ACTN4","13.6000003814697","0.374799996614456",0.12
"ACTR1A","10.9511003494263","0.407900005578995",0.15
"ACTR3B","5.8878002166748","-0.323300004005432",0.12
"ACTR8","8.5383996963501","-0.456999987363815",0.16
"ACVR1C","2.74850010871887","0.395399987697601",0.13
"ADAM12","4.18270015716553","0.264099985361099",0.14
"ADAM15","10.6456003189087","0.104400001466274",0.15
"ADAM28","8.12720012664795","0.141800001263618",0.14
"ADAMTS5","8.84220027923584","0.264999985694885",0.15
"ADAR","13.611499786377","-0.433099985122681",0.14
"ADCY1","5.8713002204895","-0.401600003242493",0.16
"ADCY2","7.57569980621338","0.209499999880791",0.14
"ADCY3","9.50380039215088","0.385199993848801",0.14
"ADCY5","10.1569004058838","-0.335099995136261",0.14
"ADCY7","9.92140007019043","0.112099997699261",0.14
"ADCY8","0.418500006198883","-0.0185000002384186",0.15
"ADCY9","10.818699836731","-0.165800005197525",0.14
"ADCYAP1R1","0","-0.422300010919571",0.15
"ADNP","11.0445995330811","-0.476200014352798",0.13
"ADORA1","4.33479976654053","-0.153400003910065",0.16
"ADRA1A","2.95040011405945","0.288300007581711",0.15
"ADRA2B","6.65240001678467","0.393999993801117",0.15
"AEBP2","9.45779991149902","-0.449999988079071",0.13
"AFF4","12.1394996643066","0.13510000705719",0.15
"AGAP2","7.60010004043579","0.132200002670288",0.14
"AGK","8.98019981384277","-0.354999989271164",0.16
"AGL","10.3358001708984","-0.128099992871284",0.14
"AGRN","12.3252000808716","0.0625",0.15
"AGT","12.7007999420166","0.0157999992370605",0.14
"AGTR1","6.35319995880127","-0.467500001192093",0.14
"AKAP9","10.72350025177","-0.482800006866455",0.14
"AKT2","10.7690000534058","0.384200006723404",0.14
"AKT3","11.2093000411987","0.174999997019768",0.16
"ALDH1A3","7.05450010299683","0.374500006437302",0.14
"ALDH3A1","3.67540001869202","-0.150399997830391",0.14
"ALDH3A2","11.3271999359131","0.309399992227554",0.13
"ALDOA","15.2175998687744","-0.245900005102158",0.13
"ALDOB","9.4818000793457","0.40149998664856",0.15
"ALK","2.81900000572205","-0.478100001811981",0.15
"AMBN","0","-0.417499989271164",0.15
"AMDHD1","7.89820003509521","-0.469199985265732",0.14
"ANAPC4","8.55650043487549","-0.306400001049042",0.13
"ANGPT4","3.51480007171631","0.175799995660782",0.13
"ANGPTL3","2.01020002365112","0.448100000619888",0.12
"ANK1","7.92040014266968","-0.263300001621246",0.14
"ANK2","10.9846000671387","-0.0397000014781952",0.15
"ANK3","12.0030002593994","0.0826999992132187",0.13
"ANLN","6.94420003890991","0.400700002908707",0.15
"ANO1","9.80300045013428","0.274899989366531",0.14
"ANO6","12.3180999755859","0.443199992179871",0.14
"AOC2","3.42729997634888","0.30460000038147",0.14
"AOX1","10.661600112915","-0.216800004243851",0.13
"AP1B1","11.6417999267578","0.32600000500679",0.14
"AP1G1","11.6003999710083","-0.225299999117851",0.15
"AP1G2","8.19149971008301","-0.428000003099442",0.13
"AP2A1","10.7638998031616","0.119400002062321",0.13
"AP2A2","11.004599571228","0.302899986505508",0.15
"AP2B1","12.8058004379272","-0.430999994277954",0.14
"AP3B1","10.8990001678467","-0.131699994206429",0.14
"AP4E1","8.44810009002686","0.44200000166893",0.13
"AP4M1","7.83379983901978","0.352400004863739",0.12
"APAF1","8.77169990539551","-0.475199997425079",0.14
"APBB1IP","10.1983995437622","-0.341100007295609",0.14
"APC","10.4264001846313","-0.457300007343292",0.14
"APEX1","10.4764003753662","-0.448100000619888",0.13
"APLP2","13.8922004699707","-0.0683000013232231",0.14
"APOA1","1.00680005550385","-0.467200011014938",0.14
"APOA5","0","0.213200002908707",0.14
"APOB","7.83580017089844","-0.116999998688698",0.14
"APP","15.1943998336792","0.357800006866455",0.13
"AQR","10.038200378418","-0.479200005531311",0.15
"ARAP1","11.7791996002197","0.199599996209145",0.14
"ARAP2","9.45300006866455","-0.411700010299683",0.14
"ARHGAP12","9.63920021057129","-0.194900006055832",0.15
"ARHGAP21","10.3776998519897","-0.058899998664856",0.13
"ARHGAP29","11.5374002456665","0.292699992656708",0.14
"ARHGAP30","10.6410999298096","0.0898000001907349",0.15
"ARHGAP5","10.7602996826172","-0.45440000295639",0.13
"ARHGAP9","8.72659969329834","-0.0720999985933304",0.15
