"from","to","Saliency","IntegratedGradients"
"MGAT3","MGAT4B","0.64","0.19"
"MGAT3","MGAT5","0.79","0.55"
"MGAT4B","MGAT5","0.9","0.82"
"MGAT4B","MGAT5B","1.0","1.0"
"MGAT5","MGAT5B","0.84","0.66"
