"from","to","Saliency","IntegratedGradients"
"MGAT3","MGAT4B","0.69","0.21"
"MGAT3","MGAT5","0.76","0.4"
"MGAT4B","MGAT5","0.92","0.7"
"MGAT4B","MGAT5B","1.0","1.0"
"MGAT5","MGAT5B","0.9","0.73"
