"from","to","Saliency","IntegratedGradients"
"MGAT3","MGAT4B","1.0","1.0"
"MGAT3","MGAT5","0.26","0.28"
"MGAT4B","MGAT5","0.56","0.48"
"MGAT4B","MGAT5B","0.31","0.39"
"MGAT5","MGAT5B","0.34","0.23"
