"from","to","Saliency","IntegratedGradients"
"MGAT3","MGAT4B","0.66","0.17"
"MGAT3","MGAT5","0.85","0.67"
"MGAT4B","MGAT5","0.95","0.91"
"MGAT4B","MGAT5B","1.0","1.0"
"MGAT5","MGAT5B","0.77","0.49"
