"label","mRNA","methy","GNNExplainer"
"ABAT","9.62909984588623","0.0705000013113022",0.15
"ABCA1","9.37819957733154","0.292699992656708",0.15
"ABCB1","5.81209993362427","-0.046900000423193",0.14
"ABCB4","4.01179981231689","0.165299996733665",0.14
"ABI1","10.4097003936768","0.144299998879433",0.14
"ABL1","10.809700012207","0.370700001716614",0.15
"ABL2","10.2889995574951","-0.470999985933304",0.15
"ACACA","10.7416000366211","-0.100500002503395",0.14
"ACACB","8.03960037231445","0.432599991559982",0.13
"ACAN","4.94570016860962","-0.406399995088577",0.14
"ACIN1","11.5291996002197","-0.108400002121925",0.14
"ACLY","12.4911003112793","-0.0679000020027161",0.16
"ACO1","9.78999996185303","-0.400499999523163",0.15
"ACO2","11.3287000656128","-0.467599987983704",0.14
"ACOT4","8.70269966125488","-0.434500008821487",0.15
"ACOX1","10.6245002746582","-0.477200001478195",0.14
"ACOX2","6.8221001625061","0.203400000929832",0.14
"ACOX3","9.32509994506836","0.063400000333786",0.16
"ACSF3","7.98489999771118","0.26690000295639",0.13
"ACSS3","8.85890007019043","-0.177000001072884",0.15
"ACTA1","7.06199979782104","-0.331900000572205",0.14
"ACTB","16.824800491333","-0.0953999981284142",0.15
"ACTG1","16.6895999908447","0.188999995589256",0.13
"ACTL6B","0","0.0949999988079071",0.14
"ACTN1","12.1351003646851","0.216299995779991",0.14
"ACTN2","3.70219993591309","-0.031700000166893",0.15
"ACTN3","0.918500006198883","0.183300003409386",0.15
"ACTN4","13.4469995498657","0.113499999046326",0.12
"ACTR1A","11.1981000900269","-0.490000009536743",0.15
"ACTR3B","7.89069986343384","0.376500010490417",0.12
"ACTR8","8.82250022888184","0.0245999991893768",0.16
"ACVR1C","3.84310007095337","-0.0710999965667725",0.13
"ADAM12","10.5494003295898","0.0807000026106834",0.14
"ADAM15","10.8105001449585","0.010499999858439",0.15
"ADAM28","7.4141001701355","0.139400005340576",0.14
"ADAMTS5","6.35750007629395","0.0164000000804663",0.15
"ADAR","12.3833999633789","-0.471700012683868",0.14
"ADCY1","10.9096002578735","-0.389499992132187",0.16
"ADCY2","6.16510009765625","-0.404100000858307",0.14
"ADCY3","9.54599952697754","-0.00179999996908009",0.14
"ADCY5","3.88720011711121","0.478399991989136",0.14
"ADCY7","9.2007999420166","0.199799999594688",0.14
"ADCY8","0","-0.298799991607666",0.15
"ADCY9","9.05630016326904","-0.00430000014603138",0.14
"ADCYAP1R1","0","-0.481000006198883",0.15
"ADNP","11.5046997070312","-0.466699987649918",0.13
"ADORA1","9.27309989929199","-0.342099994421005",0.16
"ADRA1A","0.5310999751091","-0.258199989795685",0.15
"ADRA2B","5.61660003662109","-0.222200006246567",0.15
"AEBP2","8.99339962005615","-0.458200007677078",0.13
"AFF4","10.2255001068115","-0.48539999127388",0.15
"AGAP2","8.07170009613037","-0.241400003433228",0.14
"AGK","9.66749954223633","-0.482600003480911",0.16
"AGL","9.37240028381348","-0.146599993109703",0.14
"AGRN","10.9085998535156","0.437299996614456",0.15
"AGT","5.97410011291504","-0.032600000500679",0.14
"AGTR1","10.7047996520996","-0.214200004935265",0.14
"AKAP9","11.3052997589111","-0.469500005245209",0.14
"AKT2","11.194299697876","0.221000000834465",0.14
"AKT3","7.78399991989136","0.200200006365776",0.16
"ALDH1A3","6.88990020751953","0.305599987506866",0.14
"ALDH3A1","3.59999990463257","0.28099998831749",0.14
