"from","to","Saliency","IntegratedGradients"
"MGAT3","MGAT4B","0.17","0.93"
"MGAT3","MGAT5","0.36","0.16"
"MGAT4B","MGAT5","1.0","0.96"
"MGAT4B","MGAT5B","0.84","1.0"
"MGAT5","MGAT5B","0.73","0.51"
