"from","to","Saliency","IntegratedGradients"
"MGAT3","MGAT4B","1.0","1.0"
"MGAT3","MGAT5","0.29","0.36"
"MGAT4B","MGAT5","0.38","0.36"
"MGAT4B","MGAT5B","0.12","0.35"
"MGAT5","MGAT5B","0.19","0.2"
