"from","to","Saliency","IntegratedGradients"
"MGAT3","MGAT4B","0.5","1.0"
"MGAT3","MGAT5","0.22","0.01"
"MGAT4B","MGAT5","1.0","0.8"
"MGAT4B","MGAT5B","0.81","0.89"
"MGAT5","MGAT5B","0.71","0.47"
