"from","to","Saliency","IntegratedGradients"
"MGAT3","MGAT4B","0.74","1.0"
"MGAT3","MGAT5","0.14","0.14"
"MGAT4B","MGAT5","1.0","0.71"
"MGAT4B","MGAT5B","0.63","0.56"
"MGAT5","MGAT5B","0.31","0.01"
