"from","to","Integrated Gradients","Saliency"
"FUCA2","MPO",0,0
"FUCA2","HSP90B1",0,0
"FUCA2","DSN1",0,0
"FUCA2","APOB",0,0
"FUCA2","TNC",0,0
"FUCA2","MAN2B1",0,0
"FUCA2","CHGB",0,0
"FUCA2","GUSB",0,0
"FUCA2","PRKCD",0,0
"FUCA2","FBN1",0,0
"FUCA2","AMBN",0,0
"FUCA2","SERPINA1",0,0
"FUCA2","C3",0,0
"FUCA2","PSMD1",0,0
"FUCA2","LAMC1",0,0
"FUCA2","ITIH2",0,0
"FUCA2","APOA5",0,0
"FUCA2","ENAM",0,0
"FUCA2","ARSB",0,0
"FUCA2","APP",0,0
"FUCA2","MIA3",0,0
"FUCA2","SERPINC1",0,0
"FUCA2","UNC13D",0,0
"FUCA2","FGF23",0.16,0
"FUCA2","TF",0,0
"FUCA2","VCP",0,0
"FUCA2","DMP1",0.75,0
"FUCA2","APOA1",0,0
"FUCA2","PROC",0,0
"FUCA2","GLB1",0,0
"FUCA2","PADI2",0,0
"FUCA2","CCT2",0,0
"FUCA2","F5",0,0
"FUCA2","MNDA",0,0
"FUCA2","MBTPS1",0,0
"FUCA2","PYGB",0,0
"FUCA2","SPARCL1",0,0
"FUCA2","QSOX1",0,0
"FUCA2","SERPINB3",0,0
"FUCA2","APLP2",0,0
"FUCA2","FAF2",0,0
"FUCA2","LAMB1",0,0
"FUCA2","DNAJC3",0,0
"FUCA2","VCAN",0,0
"FUCA2","ACLY",0,0
"FUCA2","HRNR",0,0
"FUCA2","TXNDC5",0,0
"FUCA2","CTSA",0,0
"FUCA2","DYNC1H1",0,0
"FUCA2","LAMB2",0,0
"FUCA2","FGG",0,0
"FUCA2","FGA",0,0
"FUCA2","FN1",0,0
"FUCA2","GRN",0,0
"FUCA2","STK11IP",0,0
"FUS","HNRNPM",0,0
"FXR1","APBB1IP",0,0
"FXR1","TDRD3",0,0
"FZD1","LRP5",0,0
"FZD2","ROR2",0,0
"FZD2","ROR1",0,0
"FZD6","ROR2",0,0
"FZD7","ROR2",0,0
"FZD7","DAAM1",0,0
"GAB2","SYK",0,0
"GABBR1","OPRM1",0.03,0
"GABBR2","OPRM1",0.03,0
"GABRA1","GABRG3",0,0
"GABRA2","GABRG3",0,0
"GABRA4","GABRA5",0,0
"GABRA4","GABRG3",0,0
"GABRA4","GABRG2",0,0
"GABRA4","GABRA1",0,0
"GABRA4","GPHN",0,0
"GABRA4","GABRA2",0,0
"GABRA4","GABRB2",0,0
"GABRA4","GABRB1",0,0
"GABRA5","GABRG3",0,0
"GABRB1","GABRA5",0,0
"GABRB2","GABRA5",0,0
"GABRG2","GPHN",0,0
"GAD1","ALDH3A1",0,0
"GAD2","ALDH3A1",0,0
"GALNT1","BICD2",0,0
"GALNT1","RAB3GAP1",0,0
"GALNT10","MUC5B",0,0
"GALNT11","MUC5B",0,0
"GALNT13","MUC5B",0,0
"GALNT3","MUC5B",0,0
"GALNT7","C1GALT1",0,0
"GALNT8","MUC5B",0,0
"GALNT8","MUC4",0,0
"GALNT8","MUC16",0.12,0
"GALNT8","MUC7",0,0
"GALNT8","MUC6",0,0
"GAPVD1","AP2B1",0,0
"GATA3","NRIP1",0,0
"GATA3","ZFPM2",0,0
"GBE1","MGAM",0,0
"GBP4","NCAM1",0,0
"GBP5","NCAM1",0,0
"GBP7","NCAM1",0,0
"GCK","NUP153",0,0
"GCK","POM121",0,0
"GCK","NUP93",0,0
"GCK","TPR",0,0
"GCK","NUP62",0,0
"GCK","NUP155",0,0
"GCK","NUP214",0,0
"GCK","NEUROD1",0,0
"GCK","GPI",0,0
"GCK","MAP3K1",0,0
"GCK","LCT",0,0
"GCK","NUP210",0,0
"GCK","GCKR",0,0
"GCK","MAP3K8",0,0
"GCKR","TPR",0,0
"GEMIN4","TPR",0,0
"GEMIN5","GEMIN4",0,0
"GFRA2","NCAM1",0,0
"GH2","STAT1",0,0
"GHRHR","ADCYAP1R1",0,0
"GIGYF1","GRB10",0,0
"GJA1","DAB2",0,0
"GLB1","HKDC1",0,0
"GLCE","GPC6",0,0
"GLE1","NUP153",0,0
"GLI1","PSMD11",0,0
"GLI1","TTC21B",0,0
"GLI1","EVC",0,0
"GLI1","IFT172",0,0
"GLI1","IFT88",0,0
"GLI1","DYNC2H1",0,0
"GLI1","SMO",0,0
"GLI1","INTU",0,0
"GLI1","MTSS1",0,0
"GLI1","SPOPL",0,0
"GLI1","RPGRIP1L",0,0
"GLI1","PTCH1",0,0
"GLI1","GLI2",0,0
"GLI1","SPOP",0,0
"GLI1","KIF7",0,0
"GLI1","EVC2",0,0
"GNA11","PLCB2",0,0
"GNA11","HRH1",0,0
"GNA11","PLCB1",0,0
"GNA11","CHRM1",0,0
"GNA11","NPFFR2",0,0
"GNA11","ESR1",0,0
"GNA11","EDNRA",0,0
"GNA11","PRKCA",0,0
"GNA11","F2R",0,0
"GNA11","CASR",0,0
"GNA11","BDKRB2",0,0
"GNA11","TRPC6",0,0
"GNA11","KALRN",0,0
"GNA11","PLCB4",0,0
"GNA11","PLA2G4A",0,0
"GNA11","TRIO",0,0
"GNA11","GNB3",0.01,0
"GNA11","ADRA1A",0,0
"GNA11","LPAR1",0,0
"GNA11","GPR39",0,0
"GNA11","ESR2",0,0
"GNA11","OPN4",0,0
"GNA11","GRM5",0,0
"GNA11","PIK3R2",0,0
"GNA11","GRM1",0,0
"GNA11","CCKAR",0.81,0
"GNA11","PIK3R1",0,0
"GNAZ","ADRA2B",0,0
"GNB3","PTGER2",0,0
"GNB3","KCNJ12",0,0
"GNB3","GHRHR",1,0
"GNB3","CALCRL",0,0
"GNB3","PTHLH",0,0
"GNB3","PRKCH",0,0
"GNB3","ITPR2",0,0
"GNB3","FSHR",0,0
"GNB3","RXFP1",0,0
"GNB3","TAAR9",0,0
"GNB3","ARHGEF12",0,0
"GNB3","ITPR1",0,0
"GNB3","GNAS",0,0
"GNB3","CRHR1",0,0
"GNB3","MC3R",0,0
"GNB3","PDE6B",0,0
"GNB3","KCNJ15",0,0
"GNB3","TAAR1",0,0
"GNB3","ADCYAP1R1",0,0
"GNB3","KCNJ2",0,0
"GNB3","ITPR3",0,0
"GNB3","LHCGR",0.56,0
"GNB3","GPR83",0,0
"GNB3","FZD6",0,0
"GNL2","TBL3",0,0
"GNPAT","UBC",0,0
"GNPTAB","ZNF274",0,0
"GOLGA5","GOLIM4",0,0
"GOLGA5","MAN2A1",0,0
"GOLGA5","COG5",0,0
"GOLGA5","COG3",0,0
"GOLGA5","CUX1",0,0
"GOLGA5","COG1",0,0
"GOLGA5","MAN2A2",0,0
"GOLGB1","SPTBN2",0,0
"GOLIM4","MAN2A2",0,0
"GP5","PIK3R1",0,0
"GPAM","AGK",0,0
"GPAM","GK2",0.43,0
"GPATCH1","PRPF19",0,0
"GPC2","GPC6",0,0
"GPC2","EXT1",0,0
"GPC6","SDC1",0.02,0.04
"GPHN","GABRA2",0,0
"GPR37","OPRM1",0.03,0
"GPR39","ADCYAP1R1",0,0
"GPR55","OPRM1",0.01,0
"GPR83","PTGER2",0,0
"GPR84","ADCYAP1R1",0,0
"GPSM1","OPRM1",0.03,0
"GRB10","GRB7",0,0
"GRB14","INSR",0.01,0.03
"GRB7","GFRA2",0,0
"GRHL1","CHD9",0,0
"GRIA1","GRIN2B",0,0
"GRIA2","KIF5C",0,0
"GRIA4","GRIP1",0,0
"GRIN2A","GRIN2B",0,0
"GRIN2C","GRIN2B",0,0
"GRIN2D","GRIN2B",0,0
"GRIN2D","GRIA2",0,0
"GRIN2D","GRIN3A",0,0
"GRIN2D","DLG2",0,0
"GRIN2D","SIPA1L1",0,0
"GRIN3A","GRIN2B",0,0
"GRIP1","ESR1",0,0
"GRM1","CALCRL",0,0
"GRM2","OPRM1",0.01,0
"GRM3","OPRM1",0.03,0
"GRM4","FPR2",0,0
"GRM5","EDNRA",0,0
"GRM7","OPRM1",0,0
"GRM8","OPRM1",0.03,0
"GRN","MPO",0,0
"GTSE1","UBC",0,0
"GUSB","PRKCD",0,0
"GYS1","ENPP1",0,0
"GYS1","NHLRC1",0,0
"GZMA","CD36",0,0
"HADHB","ACOX3",0,0
"HAL","CNDP2",0,0
"HAL","AMDHD1",0,0
"HAL","CNDP1",0,0
"HAO1","HSD17B4",0,0
"HDAC1","NRIP1",0,0
"HDAC11","HIST2H2BE",0,0
"HDAC4","NUP153",0,0
"HDAC5","ATF2",0,0
"HDAC5","HDAC11",0,0
"HDAC5","MAML3",0,0
"HDAC5","MEF2D",0,0
"HDAC5","MEF2C",0,0
"HDAC5","NCOR2",0,0
"HDAC5","MAML1",0,0
"HDAC5","NOTCH1",0,0
"HDAC5","DDX20",0,0
"HDAC5","PHF12",0,0
"HDAC5","HDAC9",0,0
"HDAC5","HDAC4",0,0
"HDAC9","NUP153",0,0
"HEATR1","TBL3",0,0
"HELQ","POLN",0,0
"HGF","TNS3",0,0
"HGF","PTPN2",0,0
"HGF","F13A1",0,0
"HGF","DOCK7",0,0
"HGF","PROS1",0,0
"HGF","HPN",0,0
"HGF","ISLR",0,0
"HGF","SCCPDH",0,0
"HGF","TNS4",0,0
"HGF","LRIG1",0,0
"HGF","SERPING1",0,0
"HGF","RAPGEF1",0,0
"HGF","MMRN1",0,0
"HIP1","SYNJ2",0,0
"HIRA","UBN1",0,0
"HIRA","HIST1H1C",0,0
"HIST1H1C","UBN1",0,0
"HIST1H3F","HIST1H3B",0,0
"HIST1H3G","HIST1H3B",0,0
"HIST2H2BE","POLR1B",0,0
"HIST2H2BE","H2AFY2",0,0
"HK2","PGM2",0,0
"HK3","PGM2",0,0
"HKDC1","PGM2",0,0
"HMGCS2","CHD9",0,0
"HMGXB4","CECR2",0,0
"HMGXB4","BAZ1A",0,0
"HMGXB4","NCOR1",0,0
"HNF1A","RPS6KA1",0,0
"HNRNPA2B1","CHERP",0,0
"HNRNPL","DDX5",0,0
"HNRNPL","RBM14",0,0
"HNRNPL","SYNCRIP",0,0
"HNRNPM","CHERP",0,0
"HNRNPU","HNRNPM",0,0
"HNRNPU","CSDE1",0,0
"HNRNPUL1","CHERP",0,0
"HPSE","CYFIP1",0,0
"HRH1","CASR",0,0
"HRNR","PRKCD",0,0
"HS3ST2","GPC6",0,0
"HS6ST1","GPC6",0,0
"HSD11B1","CYP21A2",0,0
"HSD17B4","UBC",0,0
"HSP90AB1","NRIP1",0,0
"HSP90B1","AMBN",0,0
"HSPA2","NUP153",0,0
"HSPA4","NUP153",0,0
"HSPA4","DNAJC2",0,0
"HSPA4","HSPH1",0,0
"HSPA4","DNAJB4",0,0
"HSPA8","NUP153",0,0
"HSPD1","SLC25A13",0,0
"HSPG2","GPC6",0,0
"HSPH1","DNAJC3",0,0
"HTR1A","OPRM1",0.02,0
"HTR1A","HTR3A",0.41,0
"HTR1B","OPRM1",0.01,0
"HTR1D","OPRM1",0.01,0
"HTR1E","OPRM1",0.01,0
"HTR1F","LPAR1",0,0
"HTR5A","OPRM1",0.01,0
"HVCN1","ITGAM",0,0
"IDH1","CYFIP1",0,0
"IFI44","OAS1",0,0
"IFT172","GLI3",0,0
"IFT81","CLUAP1",0,0
"IFT81","DYNC2LI1",0,0
"IFT81","KIF17",0,0
"IFT81","TRAF3IP1",0,0
"IFT81","WDR19",0,0
"IFT81","WDR35",0,0
"IFT88","KIFAP3",0,0
"IGF1R","PRKCD",0,0
"IGF1R","PRKD1",0,0
"IGF2R","AP1B1",0,0
"IKBKB","RPS6KA1",0,0
"IKBKE","TNFAIP3",0,0
"IL15","JAK3",0,0
"IL17RD","CNKSR1",0,0
"IL22RA1","IL10RB",0,0
"IL22RA1","IL22RA2",0.29,0
"IL22RA2","JAK1",0,0
"IL2RB","SYK",0,0
"IL2RB","JAK1",0,0
"IL2RB","IRS1",0,0
"IL2RB","STAT1",0,0
"IL2RB","STAT5B",0,0
"IL2RB","JAK3",0,0
"IL2RB","DOK2",0,0
"IL2RB","INPP5D",0,0
"IL2RB","JAK2",0,0
"IL2RB","STAT3",0,0
"IL2RB","IL5RA",0,0
"IL2RB","PIK3CD",0,0
"IL2RB","GAB2",0,0
"IL2RB","CSF2RB",0,0
"IL2RB","SOS2",0,0
"IL2RB","SOS1",0,0
"IL2RB","IL15",0,0
"IL2RB","PIK3CB",0,0
"IL2RB","PTK2B",0,0
"IL2RB","STAT5A",0,0
"IL2RB","INPPL1",0,0
"IL4R","JAK3",0,0
"IL5RA","LYN",0,0
"INO80","EP400",0,0
"INPP5D","IL5RA",0,0
"INPP5J","MINPP1",0,0
"INPPL1","MET",0,0
"INPPL1","MINPP1",0,0
"INPPL1","TPTE2",0,0
"INSR","SORBS1",0,0
"INTS1","INTS2",0,0
"INTS2","RPAP2",0,0
"INTS3","INTS2",0,0
"INTS3","ZMYND8",0,0
"INTS3","ZNF687",0,0
"INTS3","ZNF592",0,0
"INTS5","INTS2",0,0
"INTS7","INTS2",0,0
"INTS8","RPAP2",0,0
"INTU","GLI3",0,0
"IPO8","NUP153",0,0
"IQCB1","AKAP9",0,0
"IQGAP3","CLIP1",0,0
"IRAK2","MAP3K7",0,0
"IRF6","JUN",0,0
"IRF9","NCAM1",0,0
"IRS1","JAK3",0,0
"ITGA1","COL16A1",0,0
"ITGA1","CAPN2",0,0
"ITGA10","COL16A1",0,0
"ITGA2","COL16A1",0,0
"ITGA2B","SYK",0,0
"ITGA4","RHOA",0,0
"ITGA6","LAMA2",0,0
"ITGAD","ITGA4",0,0
"ITGAL","ITGAM",0,0
"ITGAM","MGAM",0,0
"ITGAV","SYK",0,0
"ITGAV","FBN2",0,0
"ITGAV","TGFBI",0,0
"ITGAV","ITGAD",0,0
"ITGAV","ANGPTL3",0,0
"ITGAX","FPR2",0,0
"ITGB1","ITGAM",0,0
"ITGB3","TLN2",0,0
"ITGB6","FBN2",0,0
"ITIH2","CHGB",0,0
"ITK","LYN",0,0
"ITPR1","ANK2",0,0
"ITPR1","STIM1",0,0
"ITPR2","SOS1",0,0
"ITPR3","SOS1",0,0
"ITSN1","AP2B1",0,0
"ITSN2","AP2B1",0,0
"JAK1","PRKCD",0,0
"JAK1","CSF3R",0,0
"JAK2","PRKCD",0,0
"JAK3","TYK2",0,0
"JMY","UBC",0,0
"JUN","FAT1",0,0
"KALRN","HRH1",0,0
"KALRN","MAPK6",0,0
"KAT2B","E2F1",0,0
"KAT2B","MYBBP1A",0,0
"KAT2B","DEK",0,0
"KAT2B","DDX21",0,0
"KAT2B","MYSM1",0,0
"KCNA1","KCNAB1",0,0
"KCNA10","KCNAB2",0.22,0.54
"KCNA3","KCNAB2",0.01,0.02
"KCNA4","KCNAB2",0.01,0.02
"KCNA5","KCNAB2",0.01,0.02
"KCNA5","KCNAB1",0,0
"KCNAB2","ITGAM",0,0
"KCNAB2","KCNA1",0,0
"KCND2","KCNAB2",0.01,0.02
"KCND3","KCNAB2",0.01,0.02
"KCNF1","KCNAB2",0.01,0.02
"KCNG4","KCNAB2",0.02,0.04
"KCNH1","KCNAB2",0.01,0.02
"KCNH3","KCNAB2",0.01,0.02
"KCNH5","KCNAB2",0.01,0.02
"KCNJ15","GABBR1",0,0
"KCNQ4","KCNAB2",0.01,0.02
"KDM1A","ESR1",0,0
"KDM5B","TFAP2A",0,0
"KDR","BCAR1",0,0
"KEAP1","PRKCB",0,0
"KEAP1","RNF220",0,0
"KEAP1","RNF111",0,0
"KEAP1","SMAD3",0,0
"KEAP1","SMAD2",0,0
"KEAP1","TULP4",0,0
"KEAP1","SOCS6",0,0
"KEAP1","HERC4",0,0
"KEAP1","RNF213",0,0
"KEAP1","HECW2",0,0
"KEAP1","HERC1",0,0
"KEAP1","HACE1",0,0
"KEAP1","UBE3C",0,0
"KEAP1","CCNF",0,0
"KEAP1","LNX1",0,0
"KEAP1","NFE2L2",0,0
"KEAP1","TRAF7",0,0
"KEAP1","ANAPC4",0,0
"KEAP1","CBLB",0,0
"KEAP1","SQSTM1",0,0
"KEAP1","FBXO21",0,0
"KEAP1","COPS3",0,0
"KEAP1","LMO7",0,0
"KEAP1","FBXO31",0,0
"KEAP1","SMURF2",0,0
"KEAP1","UBR1",0,0
"KEAP1","FBXO17",0,0
"KHK","HKDC1",0,0
"KHK","ALDOB",0,0
"KHSRP","ELAVL1",0,0
"KIAA0319","AP2B1",0,0
"KIAA1549","ITGB3",0,0
"KIF15","SPTBN2",0,0
"KIF17","CREM",0,0
"KIF17","FHL5",0,0
"KIF17","TNPO1",0,0
"KIF20A","SPTBN2",0,0
"KIF2A","SPTBN2",0,0
"KIF4B","SPTBN2",0,0
"KIF5A","SPTBN2",0,0
"KIF5C","KLC1",0,0
"KIF7","GLI3",0,0
"KIFAP3","SPTBN2",0,0
"KIR2DL4","B2M",0,0
"KIR3DL1","B2M",0,0
"KIR3DL2","B2M",0,0
"KIR3DL2","KLRC1",0,0
"KIT","GRB7",0,0
"KIT","PTPRU",0,0
"KITLG","MCM7",0,0
"KITLG","TEC",0,0
"KITLG","STAP1",0,0
"KITLG","GLI3",0,0
"KITLG","GRB10",0,0
"KITLG","PTPRO",0,0
"KITLG","DOK1",0,0
"KLC1","SPTBN2",0,0
"KLK3","PKN1",0,0
"KLK5","DSG4",0.02,0
"KLRC1","B2M",0,0
"KNTC1","CLIP1",0,0
"KPNA2","NUP153",0,0
"KPNB1","PTPN2",0,0
"KRAS","SPTBN2",0,0
"KRAS","GRIN2B",0,0
"KRAS","DAB2IP",0,0
"KRAS","RASA3",0,0
"KRAS","RASAL2",0,0
"KRAS","GRIN2D",0,0
"KRAS","GRIN2C",0,0
"KRAS","RASGRP2",0,0
"KRAS","SPRED1",0,0
"KRAS","SYNGAP1",0,0
"KRAS","RIN1",0,0
"KRAS","RASGRF2",0,0
"KRAS","GRIN2A",0,0
"KRAS","RASGRP4",0,0
"KSR2","ITGB3",0,0
"LAMA1","LAMA2",0,0
"LAMA2","PAK4",0,0
"LAMA3","LAMA2",0,0
"LAMA4","LAMA3",0,0
"LAMA5","LAMA3",0,0
"LAMB1","HSP90B1",0,0
"LAMB1","CHRNA1",0.41,0
"LAMB1","AGRN",0,0
"LAMB1","TMPRSS6",0,0
"LAMB1","UTRN",0,0
"LAMB2","PAK4",0,0
"LAMB3","PAK4",0,0
"LAMC1","LAMA3",0,0
"LAMC3","LAMA2",0,0
"LCE1C","TCHH",0,0
"LCT","HKDC1",0,0
"LDLR","AP2B1",0,0
"LEPR","JAK2",0,0
"LHCGR","ADCYAP1R1",0,0
"LIFR","TYK2",0,0
"LILRA1","B2M",0,0
"LILRA4","B2M",0,0
"LILRB1","B2M",0,0
"LILRB3","B2M",0,0
"LIMK1","LIMK2",0,0
"LIMK2","RHOA",0,0
"LIN54","MYBL1",0,0
"LINGO1","RHOA",0,0
"LLGL1","DLG1",0,0
"LLGL1","SCRIB",0,0
"LLGL2","NRG1",0,0
"LMOD1","SORBS1",0,0
"LONP2","CCT3",0,0
"LPA","ITGAM",0,0
"LPAR1","OPRM1",0.03,0
"LPIN1","PRKCA",0,0
"LPIN2","PRKCB",0,0
"LPIN2","LPIN1",0,0
"LPIN2","LPIN3",0,0
"LPIN3","LPIN1",0,0
"LRIG1","EGFR",0,0
"LRP12","GPC6",0,0
"LRP2","SYNJ2",0,0
"LRP5","UBC",0,0
"LRP6","FZD7",0,0
"LRP6","WIF1",0,0
"LRP8","GRIN2B",0,0
"LRRC7","DOCK2",0,0
"LRRC7","LTF",0,0
"LRRC7","CYFIP1",0,0
"LRRC7","SPTAN1",0,0
"LRRC7","NFKB1",0,0
"LRRC7","CHI3L1",0,0
"LRRC7","CHIT1",0,0
"LRRC7","HPSE",0,0
"LRRC7","OLFM4",0,0
"LRRC7","B2M",0,0
"LRRC7","KPNB1",0,0
"LRRC7","VCL",0,0
"LRRFIP1","MYO18A",0,0
"LTF","DOCK2",0,0
"LTF","SEMG1",0,0
"LYN","GRIN2B",0,0
"MAD1L1","CLIP1",0,0
"MAD2L1","TOP2A",0,0
"MADD","CASP8",0,0
"MAG","RHOA",0,0
"MALT1","MAP3K7",0,0
"MAML1","PLXND1",0,0
"MAML3","WWC1",0,0
"MAN2A1","CUX1",0,0
"MAN2B1","DNAJC3",0,0
"MAP2K1","AKAP9",0,0
"MAP2K3","MAP3K4",0,0
"MAP3K10","MAP2K3",0,0
"MAP3K11","MAP2K3",0,0
"MAP3K4","MAP2K4",0,0
"MAP3K7","HIPK2",0,0
"MAP3K7","PPM1L",0,0
"MAP3K8","MAP2K1",0,0
"MAP4K4","MAP3K1",0,0
"MAPK4","XPO1",0,0
"MAPK6","PSMD4",0,0
"MAPK6","MAPK4",0,0
"MAPK6","CDC14A",0,0
"MAPK7","RPS6KA1",0,0
"MAPT","CAMK2A",0,0
"MBD5","UBC",0,0
"MBTPS1","ENAM",0,0
"MC3R","PTGER2",0,0
"MCM10","RECQL4",0,0
"MCM3AP","NXF1",0,0
"MCM5","MCM6",0,0
"MCM5","SSRP1",0,0
"MCM5","NASP",0,0
"MCM5","CHEK2",0,0
"MCM5","CHAF1A",0,0
"MCM5","UHRF1",0,0
"MCM6","POLE",0,0
"MCM7","TOP2A",0,0
"MDM2","E2F1",0,0
"MDM2","PIAS2",0,0
"MDM2","JMY",0,0
"MDM2","MDM4",0,0
"MDM4","TNRC6B",0,0
"MED1","NR2E1",0,0
"MED1","ESRRG",0,0
"MED1","NR4A2",0,0
"MEF2C","E2F1",0,0
"MEF2D","NFATC2",0,0
"MEF2D","PPP3CA",0,0
"MEF2D","MAPK7",0,0
"MELK","TOP2A",0,0
"MERTK","PROS1",0,0
"MET","LAMA3",0,0
"MFAP1","TCERG1",0,0
"MFN1","UBC",0,0
"MGAM","FPR2",0,0
"MIA3","CHGB",0,0
"MIB1","DLL1",0,0
"MIB1","MARK2",0,0
"MINPP1","SYNJ1",0,0
"MKI67","TOP2A",0,0
"MLH1","PMS2",0,0
"MLH1","PMS1",0,0
"MLH1","BRIP1",0,0
"MLH1","MLH3",0,0
"MLH1","MSH5",0,0
"MLH1","BLM",0,0
"MLH1","MSH6",0,0
"MLH1","BRCA2",0,0
"MLH1","MSH4",0,0
"MLH3","HIST2H2BE",0,0
"MMP14","LAMA3",0,0
"MMP15","NID1",0,0
"MMP25","ITGAM",0,0
"MMP3","COL9A3",0.4,0.99
"MMRN1","SERPINA1",0,0
"MNDA","PRKCD",0,0
"MOV10","TNRC6B",0,0
"MPHOSPH10","TBL3",0,0
"MPHOSPH10","NMD3",0,0
"MPHOSPH10","DNTTIP2",0,0
"MPO","PRKCD",0,0
"MSH4","PMS2",0,0
"MSH6","PMS2",0,0
"MSH6","SMC5",0,0
"MSH6","FANCM",0,0
"MTA2","UBTF",0,0
"MTMR4","SMAD3",0,0
"MTOR","RRAGD",0,0
"MTSS1","GLI2",0,0
"MUC16","C1GALT1",0,0
"MUC16","GALNT6",0,0
"MUC16","GALNT11",0,0
"MUC16","GALNTL5",0,0
"MUC4","GALNT6",0,0
"MUC5B","GALNT6",0,0
"MUC6","GALNT6",0,0
"MUC7","GALNT6",0,0
"MUSK","AGRN",0,0
"MX1","OAS1",0,0
"MX2","OAS1",0,0
"MYB","SND1",0,0
"MYBBP1A","TBL3",0,0
"MYBL2","LIN54",0,0
"MYBL2","FOXM1",0,0
"MYBL2","RBL1",0,0
"MYF5","MEF2D",0,0
"MYF6","MYF5",0,0
"MYF6","TCF3",0,0
"MYF6","TCF12",0,0
"MYH4","ACTN2",0,0
"MYLK","SORBS1",0,0
"MYO10","ACTG1",0,0
"MYSM1","UBC",0,0
"NAA25","PAK4",0,0
"NASP","CDCA7",0,0
"NAT10","TBL3",0,0
"NBEAL2","ITGAM",0,0
"NBR1","UBC",0,0
"NCAM1","CIITA",0,0
"NCAN","TNR",0,0
"NCAN","CSGALNACT2",0,0
"NCAN","CHSY3",0,0
"NCAN","XYLT1",0,0
"NCAN","TNXB",0,0
"NCAN","CHSY1",0,0
"NCAN","PTPRZ1",0,0
"NCAN","CSPG4",0,0
"NCAPD2","PRKACG",0,0
"NCF2","VAV3",0,0
"NCF4","VAV1",0,0
"NCL","ITGB3",0,0
"NCOA2","CHD9",0,0
"NCOR1","NRIP1",0,0
"NCOR2","CHD9",0,0
"NDC80","ZWILCH",0,0
"NDST1","GPC6",0,0
"NEK9","NUP153",0,0
"NEK9","BICD2",0,0
"NEO1","MYO10",0,0
"NEUROD1","TCF12",0,0
"NEUROG3","NEUROD1",0,0
"NF1","POU2F1",0,0
"NFASC","SPTBN2",0,0
"NFATC1","KPNA2",0,0
"NFATC2","CABIN1",0,0
"NFATC3","JUN",0,0
"NFE2L2","PRKCA",0,0
"NFKB1","ITGAM",0,0
"NFKB1","RPS6KA5",0,0
"NFKB1","TYK2",0,0
"NFKB1","IRAK2",0,0
"NFKB1","REL",0,0
"NFKB1","MALT1",0,0
"NFRKB","UBC",0,0
"NGEF","RHOT1",0,0
"NHLRC1","UBC",0,0
"NID1","LAMA3",0,0
"NID2","LAMA3",0,0
"NID2","NID1",0,0
"NID2","LAMC3",0,0
"NIPBL","SMC3",0,0
"NLGN1","DLGAP2",0,0
"NLGN2","DLGAP2",0,0
"NMD3","RRP12",0,0
"NOD1","MAP3K7",0,0
"NOD1","CARD9",0,0
"NOD1","TNFAIP3",0,0
"NOD1","CASP2",0,0
"NOD1","MAP2K3",0,0
"NOD1","MAP2K4",0,0
"NOL6","TBL3",0,0
"NOP14","TBL3",0,0
"NOP2","TBL3",0,0
"NOP58","TBL3",0,0
"NOS2","ACOX3",0,0
"NOS2","FAT1",0,0
"NOS3","ARNT",0,0
"NOTCH1","E2F1",0,0
"NOTCH2","DLL1",0,0
"NOTCH2","TNRC6B",0,0
"NOTCH2","MOV10",0,0
"NOTCH2","ST3GAL3",0,0
"NOTCH2","ATP2A2",0,0
"NOTCH2","TNRC6A",0,0
"NOTCH2","ATP2A1",0,0
"NOTCH2","DTX1",0,0
"NOTCH2","PSEN2",0,0
"NOTCH2","CNTN1",0,0
"NOTCH3","DLL1",0,0
"NOTCH3","WWC1",0,0
"NPAS2","NRIP1",0,0
"NPBWR1","OPRM1",0.01,0
"NPFFR2","HRH1",0,0
"NPHS1","ACTN3",0,0
"NPLOC4","UBC",0,0
"NPLOC4","FAF1",0,0
"NPY1R","OPRM1",0.03,0
"NPY2R","OPRM1",0,0
"NR2E1","JUN",0,0
"NRBP1","MED1",0,0
"NRG1","GRB7",0,0
"NRG2","GRB7",0,0
"NRG3","RHOA",0,0
"NRP1","DPYSL3",0,0
"NTRK1","AP2B1",0,0
"NTRK2","GRIN2B",0,0
"NTRK3","SOS1",0,0
"NUDT7","ACOX3",0,0
"NUMBL","NOTCH1",0,0
"NUMBL","NOTCH2",0,0
"NUP133","ZWILCH",0,0
"NUP153","NUP62",0,0
"NUP155","GEMIN5",0,0
"NUP155","HSPA5",0,0
"NUP155","GLE1",0,0
"NUP155","NEK9",0,0
"NUP155","NXF1",0,0
"NUP155","IPO8",0,0
"NUP155","HSPA4",0,0
"NUP155","GEMIN4",0,0
"NUP155","HSPA2",0,0
"NUP155","XPOT",0,0
"NUP210","GEMIN5",0,0
"NUP210","KPNA2",0,0
"NUP214","NUP153",0,0
"NUP43","NUP153",0,0
"NUP62","CPSF1",0,0
"NUP93","NUP153",0,0
"NXF1","NUP153",0,0
"OAS1","TRIM3",0,0
"OAS2","TRIM3",0,0
"OAS3","TRIM3",0,0
"OAS3","NCAM1",0,0
"OAS3","ADAR",0,0
"OAS3","SP100",0,0
"OAS3","OAS1",0,0
"OAS3","GBP5",0,0
"OAS3","IRF9",0,0
"OAS3","VCAM1",0,0
"OAS3","OAS2",0,0
"OAS3","GBP7",0,0
"OAS3","IFI35",0,0
"OAS3","TRIM29",0,0
"OAS3","TRIM6",0,0
"OAS3","IRF6",0,0
