"from","to","Integrated Gradients","Saliency"
"ARHGEF17","RHOA",0,0
"ARHGEF4","RHOA",0,0
"ARHGEF5","RHOA",0,0
"ARHGEF5","ARHGAP5",0,0
"ARID1A","JUN",0,0
"ARID4A","HIST2H2BE",0,0
"ARNT","JUN",0,0
"ARNT","ASPH",0,0
"ARPC2","SYNJ2",0,0
"ARPC2","MYO10",0,0
"ARSB","PRKCD",0,0
"ASXL1","UBC",0,0
"ASXL1","MBD5",0,0
"ATF2","JUN",0,0
"ATF2","CREB5",0,0
"ATN1","JUN",0,0
"ATP11A","ITGAM",0,0
"ATP12A","ATP1B1",0,0
"ATP1B1","ATP2A2",0,0
"ATP1B1","ATP1A1",0,0
"ATP6V1A","INSR",0.01,0.03
"ATP8A1","ITGAM",0,0
"ATP8B4","ITGAM",0,0
"AXIN1","PSMD4",0,0
"AXIN2","PSMD4",0,0
"AXL","VAV3",0,0
"B3GNT5","MUC7",0,0
"BAAT","ACOX3",0,0
"BAAT","SLC27A5",0,0
"BACH1","BRCA1",0,0
"BAK1","BCL2L11",0,0
"BAP1","UBC",0,0
"BAZ1A","CDC5L",0,0
"BAZ1B","POLR1B",0,0
"BCAN","TNR",0,0
"BCAR1","ACTN3",0,0
"BCAS2","CHERP",0,0
"BCL2L11","KSR2",0,0
"BCL6","CD19",0,0
"BCL9","HIST1H3F",0,0
"BCL9","BCL9L",0,0
"BCL9","TLE1",0,0
"BCL9","TLE3",0,0
"BCL9","TLE2",0,0
"BCL9","HIST1H3B",0,0
"BCL9","HIST1H3G",0,0
"BCL9L","HIST2H2BE",0,0
"BCR","SYK",0,0
"BCR","SH3BP5",0,0
"BDKRB2","ADRA2B",0,0
"BICD2","ACTR1A",0,0
"BIRC3","TAX1BP1",0,0
"BIRC3","APAF1",0,0
"BLK","ZAP70",0,0
"BLK","PTPN13",0,0
"BLK","EPHA7",0,0
"BLK","EPHA1",0,0
"BLK","NGEF",0,0
"BLK","TRPV6",0,0
"BLK","EPHA2",0,0
"BLK","PAX5",0,0
"BLM","RAD54L",0,0
"BMP1","LAMA3",0,0
"BMS1","TBL3",0,0
"BRAP","UBC",0,0
"BRD1","BRPF1",0,0
"BRD1","MTA2",0,0
"BRD1","CHD4",0,0
"BRD1","HDAC1",0,0
"BRD1","CHD3",0,0
"BRD7","SMARCA4",0,0
"BRD8","CDC5L",0,0
"BRD8","EPC1",0,0
"BRD8","NFRKB",0,0
"BRD8","ACTR8",0,0
"BRD8","INO80",0,0
"BRPF1","HIST1H3B",0,0
"BRWD1","STAT5A",0,0
"BUB1","TOP2A",0,0
"BUB1","UBR5",0,0
"BUB3","CLIP1",0,0
"C1GALT1","GALNT6",0,0
"C3","ITGAM",0,0
"C3","CR2",0,0
"C3","CR1",0,0
"C3AR1","ITGAM",0,0
"C5","OPRM1",0.02,0
"C5","PDYN",0,0
"C5","HTR1A",0,0
"C5","OXER1",0,0
"C5","NPY1R",0,0
"C5","CCR1",0,0
"C5","GRM3",0,0
"C5","NPBWR1",0,0
"C5","HTR1F",0,0
"C5","CCR2",0,0
"C5","RXFP3",0,0
"C5","C7",0,0
"C5","ADCY8",0,0
"C5","ADCY9",0,0
"C5","HTR1D",0,0
"C5","ADCY3",0,0
"C5","PTGER3",0,0
"C5","ADORA1",0,0
"C5","C5AR1",0,0
"C5","GABBR1",0,0
"C5","GRM4",0,0
"C5","ADRA2B",0,0
"C5","CX3CR1",0,0
"C5","ADCY5",0,0
"C5","ADCY1",0,0
"C5","GRM8",0,0
"C5","HTR1B",0,0
"C5","C2",0,0
"C5","GRM7",0,0
"C5","DRD2",0,0
"C5","GABBR2",0,0
"C5","OPRL1",0,0
"C5","ADCY7",0,0
"C5","GPSM1",0,0
"C5","GPR37",0,0
"C5","GPR55",0,0
"C5","HTR5A",0,0
"C5","SPG7",0,0
"C5","NPY2R",0.63,0
"C5","HTR1E",0,0
"C5","ADCY2",0,0
"C5","GRM2",0,0
"C5AR1","OPRM1",0.04,0
"CABIN1","PRKCA",0,0
"CACNA1C","CACNB1",0,0
"CACNA1C","RYR1",0,0
"CACNA1D","CACNB1",0,0
"CACNA1S","CACNB1",0,0
"CACNB1","NCAM1",0,0
"CACNG3","DLG1",0,0
"CACNG3","CACNA1S",0,0
"CACNG3","GRIA1",0,0
"CACNG3","CACNA1D",0,0
"CACNG3","CAMK2A",0,0
"CACNG3","CACNA2D1",0,0
"CACNG3","CACNA1C",0,0
"CACNG3","MDM2",0,0
"CACNG3","CACNB1",0,0
"CACNG3","GRIA4",0,0
"CACNG3","CAMK2D",0,0
"CACNG3","CACNB2",0,0
"CACNG3","EPB41L1",0,0
"CALCRL","ADCYAP1R1",0,0
"CALD1","SORBS1",0,0
"CAMK2A","GRIN2B",0,0
"CAMK2D","GRIN2B",0,0
"CAMK2D","RYR2",0,0
"CAMK4","NOS3",0,0
"CAP2","GRXCR1",0.34,0
"CAP2","ABL2",0,0
"CAPG","CDC5L",0,0
"CAPN2","PTK2",0,0
"CARD9","SYK",0,0
"CARM1","CHD9",0,0
"CASC3","TPR",0,0
"CASP2","APAF1",0,0
"CASP8","PTPN13",0,0
"CASR","PDYN",0,0
"CBL","SYK",0,0
"CBL","IL4R",0,0
"CBLB","SYK",0,0
"CBX2","JUN",0,0
"CCKAR","HRH1",0,0
"CCNA2","E2F1",0,0
"CCNE2","UBC",0,0
"CCNT1","POU2F1",0,0
"CCNT1","CDK14",0,0
"CCNT1","BRD4",0,0
"CCR1","OPRM1",0.03,0
"CCR2","OPRM1",0.02,0
"CCT2","CCNE2",0,0
"CCT3","CCNE2",0,0
"CCT6B","CCNE2",0,0
"CD19","ITGAM",0,0
"CD1B","B2M",0,0
"CD1C","B2M",0,0
"CD1D","B2M",0,0
"CD2","SYK",0,0
"CD22","CD19",0,0
"CD22","LYN",0,0
"CD22","BCL6",0,0
"CD22","BCR",0,0
"CD300A","ITGAM",0,0
"CD36","ITGAM",0,0
"CD4","SYK",0,0
"CD4","ZAP70",0,0
"CD4","PAG1",0,0
"CD4","COPA",0,0
"CD4","PTPRJ",0,0
"CD4","TRAT1",0,0
"CD4","VAV1",0,0
"CD4","PTPN22",0,0
"CD4","CD8B",0,0
"CD4","CD86",0,0
"CD4","PRKCQ",0,0
"CD4","PLCG1",0,0
"CD4","CXCR4",0,0
"CD4","ITK",0,0
"CD4","PTPRC",0,0
"CD4","CD8A",0,0
"CD4","GNAZ",0,0
"CD4","CD5",0,0
"CD47","ITGAM",0,0
"CD5","CD2",0,0
"CD86","ITGAM",0,0
"CD8A","VAV1",0,0
"CD8B","SYK",0,0
"CD93","ITGAM",0,0
"CDC25C","PKN2",0,0
"CDC37","HSP90B1",0,0
"CDC37","NRG2",0,0
"CDC37","NRG3",0,0
"CDC37","HSP90AB1",0,0
"CDC37","NRG1",0,0
"CDC40","NUP153",0,0
"CDC5L","CHERP",0,0
"CDC5L","PARP4",0,0
"CDC5L","GALNT13",0,0
"CDC5L","EPS8L2",0,0
"CDC5L","ADNP",0,0
"CDC5L","ETV6",0,0
"CDC5L","EPPK1",0,0
"CDC6","E2F1",0,0
"CDC6","CCNE2",0,0
"CDC6","LIN54",0,0
"CDC6","MCM5",0,0
"CDC6","MCM6",0,0
"CDC6","TOPBP1",0,0
"CDC6","KITLG",0,0
"CDC6","CDCA7",0,0
"CDC6","WDHD1",0,0
"CDC6","CCNA2",0,0
"CDC6","EXO1",0,0
"CDC6","CDKN1B",0,0
"CDC6","MCM10",0,0
"CDC6","MCM7",0,0
"CDC6","POLA2",0,0
"CDC6","SMC2",0,0
"CDC6","RRM1",0,0
"CDC6","ATR",0,0
"CDC73","RNF20",0,0
"CDCA7","UHRF1",0,0
"CDK7","CCNE2",0,0
"CDK7","CHD1L",0,0
"CDK7","UBTF",0,0
"CDKN1B","E2F1",0,0
"CDKN1B","CTCF",0,0
"CDKN1B","DCAF5",0,0
"CDKN1B","ABL1",0,0
"CDKN1B","TRPC4AP",0,0
"CDKN1B","EP400",0,0
"CDS1","PLD1",0,0
"CECR2","BAZ1A",0,0
"CELSR1","VANGL2",0,0
"CENPE","SPTBN2",0,0
"CENPF","CLIP1",0,0
"CENPL","DSN1",0,0
