"from","to","Saliency","IntegratedGradients"
"MGAT3","MGAT4B","1.0","0.62"
"MGAT3","MGAT5","0.83","1.0"
"MGAT4B","MGAT5","0.55","0.67"
"MGAT4B","MGAT5B","0.73","0.89"
"MGAT5","MGAT5B","0.56","0.54"
