"from","to","Saliency","IntegratedGradients"
"MGAT3","MGAT4B","0.11","0.91"
"MGAT3","MGAT5","0.34","0.06"
"MGAT4B","MGAT5","1.0","0.73"
"MGAT4B","MGAT5B","0.92","1.0"
"MGAT5","MGAT5B","0.9","0.76"
