"from","to","Saliency","IntegratedGradients"
"MGAT3","MGAT4B","0.02","0.74"
"MGAT3","MGAT5","0.47","0.35"
"MGAT4B","MGAT5","1.0","1.0"
"MGAT4B","MGAT5B","0.87","0.95"
"MGAT5","MGAT5B","0.7","0.41"
