"from","to","Saliency","IntegratedGradients"
"MGAT3","MGAT4B","0.45","0.4"
"MGAT3","MGAT5","0.71","0.43"
"MGAT4B","MGAT5","1.0","0.84"
"MGAT4B","MGAT5B","1.0","1.0"
"MGAT5","MGAT5B","0.84","0.58"
