"label","mRNA","methy","GNNExplainer"
"MGAT3","7.58680009841919","-0.107199996709824","0.91"
"MGAT4B","11.1194000244141","0.400799989700317","0.83"
"MGAT5","5.91769981384277","0.433499991893768","0.15"
"MGAT5B","5.65409994125366","-0.140799999237061","0.14"
