"from","to","Saliency","IntegratedGradients"
"MGAT3","MGAT4B","0.25","0.96"
"MGAT3","MGAT5","0.33","0.01"
"MGAT4B","MGAT5","1.0","0.8"
"MGAT4B","MGAT5B","0.88","1.0"
"MGAT5","MGAT5B","0.81","0.64"
