"from","to","Saliency","IntegratedGradients"
"MGAT3","MGAT4B","1.0","1.0"
"MGAT3","MGAT5","0.28","0.34"
"MGAT4B","MGAT5","0.46","0.39"
"MGAT4B","MGAT5B","0.15","0.37"
"MGAT5","MGAT5B","0.23","0.17"
