"from","to","Saliency","IntegratedGradients"
"MGAT3","MGAT4B","0.01","0.75"
"MGAT3","MGAT5","0.46","0.33"
"MGAT4B","MGAT5","1.0","1.0"
"MGAT4B","MGAT5B","0.89","0.92"
"MGAT5","MGAT5B","0.73","0.46"
