"from","to","Saliency","IntegratedGradients"
"MGAT3","MGAT4B","0.05","0.62"
"MGAT3","MGAT5","0.56","0.46"
"MGAT4B","MGAT5","1.0","1.0"
"MGAT4B","MGAT5B","0.85","0.89"
"MGAT5","MGAT5B","0.62","0.16"
