"from","to","Saliency","IntegratedGradients"
"MGAT3","MGAT4B","0.03","0.91"
"MGAT3","MGAT5","0.36","0.05"
"MGAT4B","MGAT5","1.0","0.88"
"MGAT4B","MGAT5B","0.93","1.0"
"MGAT5","MGAT5B","0.89","0.73"
