"from","to","Saliency","IntegratedGradients"
"MGAT3","MGAT4B","0.92","0.03"
"MGAT3","MGAT5","0.9","0.61"
"MGAT4B","MGAT5","0.89","0.71"
"MGAT4B","MGAT5B","1.0","1.0"
"MGAT5","MGAT5B","0.84","0.64"
