"from","to","Saliency","IntegratedGradients"
"MGAT3","MGAT4B","0.05","0.73"
"MGAT3","MGAT5","0.51","0.2"
"MGAT4B","MGAT5","1.0","0.85"
"MGAT4B","MGAT5B","0.96","1.0"
"MGAT5","MGAT5B","0.84","0.64"
