"from","to","Saliency","IntegratedGradients"
"MGAT3","MGAT4B","0.82","0.06"
"MGAT3","MGAT5","0.81","0.52"
"MGAT4B","MGAT5","0.89","0.72"
"MGAT4B","MGAT5B","1.0","1.0"
"MGAT5","MGAT5B","0.88","0.73"
