"from","to","Saliency","IntegratedGradients"
"MGAT3","MGAT4B","1.0","1.0"
"MGAT3","MGAT5","0.19","0.26"
"MGAT4B","MGAT5","0.96","0.54"
"MGAT4B","MGAT5B","0.63","0.57"
"MGAT5","MGAT5B","0.67","0.36"
