"from","to","Saliency","IntegratedGradients"
"MGAT3","MGAT4B","0.36","0.66"
"MGAT3","MGAT5","0.63","0.2"
"MGAT4B","MGAT5","1.0","0.83"
"MGAT4B","MGAT5B","0.93","1.0"
"MGAT5","MGAT5B","0.86","0.61"
