"from","to","Saliency","IntegratedGradients"
"MGAT3","MGAT4B","0.24","1.0"
"MGAT3","MGAT5","0.39","0.36"
"MGAT4B","MGAT5","1.0","0.96"
"MGAT4B","MGAT5B","0.66","0.76"
"MGAT5","MGAT5B","0.26","0.05"
