"from","to","Saliency","IntegratedGradients"
"MGAT3","MGAT4B","0.46","0.36"
"MGAT3","MGAT5","0.76","0.47"
"MGAT4B","MGAT5","1.0","0.84"
"MGAT4B","MGAT5B","0.98","1.0"
"MGAT5","MGAT5B","0.79","0.45"
