"from","to","Saliency","IntegratedGradients"
"MGAT3","MGAT4B","0.24","0.63"
"MGAT3","MGAT5","0.54","0.21"
"MGAT4B","MGAT5","1.0","0.81"
"MGAT4B","MGAT5B","0.96","1.0"
"MGAT5","MGAT5B","0.88","0.68"
