"from","to","Saliency","IntegratedGradients"
"MGAT3","MGAT4B","0.63","0.18"
"MGAT3","MGAT5","0.86","0.65"
"MGAT4B","MGAT5","0.94","0.88"
"MGAT4B","MGAT5B","1.0","1.0"
"MGAT5","MGAT5B","0.76","0.48"
