"from","to","Saliency","IntegratedGradients"
"MGAT3","MGAT4B","0.46","0.4"
"MGAT3","MGAT5","0.72","0.39"
"MGAT4B","MGAT5","1.0","0.8"
"MGAT4B","MGAT5B","1.0","1.0"
"MGAT5","MGAT5B","0.85","0.58"
