"from","to","Saliency","IntegratedGradients"
"MGAT3","MGAT4B","0.74","1.0"
"MGAT3","MGAT5","0.09","0.06"
"MGAT4B","MGAT5","1.0","0.86"
"MGAT4B","MGAT5B","0.74","0.67"
"MGAT5","MGAT5B","0.59","0.27"
