"label","mRNA","methy","GNNExplainer"
"ABAT","9.41899967193604","-0.104299999773502",0.15
"ABCA1","12.2239999771118","0.126599997282028",0.15
"ABCB1","9.59739971160889","-0.0710000023245811",0.14
"ABCB4","5.08850002288818","-0.228400006890297",0.14
"ABI1","10.7136001586914","-0.467500001192093",0.14
"ABL1","11.2925996780396","0.428799986839294",0.15
"ABL2","10.0974998474121","0.188800007104874",0.15
"ACACA","9.23939990997314","0.274500012397766",0.14
"ACACB","8.53020000457764","-0.0683000013232231",0.13
"ACAN","10.5350999832153","-0.14300000667572",0.14
"ACIN1","11.1688995361328","-0.474400013685226",0.14
"ACLY","13.8629999160767","0.0922000035643578",0.16
"ACO1","11.1440000534058","-0.483900010585785",0.15
"ACO2","12.617600440979","-0.0399999991059303",0.14
"ACOT4","6.65869998931885","-0.440699994564056",0.15
"ACOX1","11.1983995437622","-0.454899996519089",0.14
"ACOX2","7.53410005569458","-0.0833000019192696",0.14
"ACOX3","8.17450046539307","0.440699994564056",0.16
"ACSF3","9.21389961242676","-0.486299991607666",0.13
"ACSS3","8.86680030822754","0.0672999992966652",0.15
"ACTA1","2.68939995765686","-0.225700005888939",0.14
"ACTB","16.9225997924805","0.0860000029206276",0.15
"ACTG1","16.1779003143311","-0.0502999983727932",0.13
"ACTL6B","0","-0.351799994707108",0.14
"ACTN1","12.7220001220703","0.0689999982714653",0.14
"ACTN2","2.61579990386963","-0.441199988126755",0.15
"ACTN3","2.07249999046326","0.241899996995926",0.15
"ACTN4","14.1434001922607","0.375400006771088",0.12
"ACTR1A","11.2870998382568","0.317499995231628",0.15
"ACTR3B","6.01800012588501","-0.296499997377396",0.12
"ACTR8","8.76210021972656","-0.471100002527237",0.16
"ACVR1C","2.45639991760254","0.432000011205673",0.13
"ADAM12","10.1055002212524","0.24439999461174",0.14
"ADAM15","10.576000213623","0.151600003242493",0.15
"ADAM28","8.76739978790283","0.0617999993264675",0.14
"ADAMTS5","9.15509986877441","0.340200006961823",0.15
"ADAR","12.7437000274658","-0.423799991607666",0.14
"ADCY1","7.58799982070923","-0.432900011539459",0.16
"ADCY2","5.72629976272583","0.342500001192093",0.14
"ADCY3","10.7129001617432","0.298099994659424",0.14
"ADCY5","9.77680015563965","-0.351099997758865",0.14
"ADCY7","9.74860000610352","0.153200000524521",0.14
"ADCY8","6.01800012588501","0.00549999997019768",0.15
"ADCY9","10.5545997619629","-0.269400000572205",0.14
"ADCYAP1R1","0.401199996471405","-0.413800001144409",0.15
"ADNP","11.111499786377","-0.479900002479553",0.13
"ADORA1","7.33939981460571","-0.207699999213219",0.16
"ADRA1A","2.61579990386963","0.373199999332428",0.15
"ADRA2B","6.6168999671936","0.385199993848801",0.15
"AEBP2","9.31540012359619","-0.459899991750717",0.13
"AFF4","11.6934995651245","0.124899998307228",0.15
"AGAP2","7.61929988861084","0.0734999999403954",0.14
"AGK","8.7790002822876","-0.394300013780594",0.16
"AGL","9.29489994049072","-0.00820000004023314",0.14
"AGRN","14.0718002319336","0.0877000018954277",0.15
"AGT","12.057900428772","0.0159000009298325",0.14
