"from","to","Saliency","IntegratedGradients"
"MGAT3","MGAT4B","0.41","0.39"
"MGAT3","MGAT5","0.71","0.59"
"MGAT4B","MGAT5","0.97","1.0"
"MGAT4B","MGAT5B","1.0","0.93"
"MGAT5","MGAT5B","0.79","0.5"
