"from","to","Saliency","IntegratedGradients"
"MGAT3","MGAT4B","0.92","0.17"
"MGAT3","MGAT5","1.0","0.91"
"MGAT4B","MGAT5","0.84","0.88"
"MGAT4B","MGAT5B","0.97","1.0"
"MGAT5","MGAT5B","0.69","0.4"
