"label","mRNA","methy","GNNExplainer"
"ABAT","8.67329978942871","-0.312400013208389",0.15
"ABCA1","10.692099571228","-0.0570000000298023",0.15
"ABCB1","7.00209999084473","-0.268500000238419",0.14
"ABCB4","4.29790019989014","-0.436800003051758",0.14
"ABI1","9.83699989318848","-0.460799992084503",0.14
"ABL1","10.7742004394531","0.436699986457825",0.15
"ABL2","11.5910997390747","0.299199998378754",0.15
"ACACA","8.81459999084473","0.268299996852875",0.14
"ACACB","8.93290042877197","-0.425900012254715",0.13
"ACAN","10.6402997970581","-0.0138999996706843",0.14
"ACIN1","11.1353998184204","-0.472699999809265",0.14
"ACLY","12.0010995864868","-0.015599999576807",0.16
"ACO1","9.47019958496094","-0.485199987888336",0.15
"ACO2","11.3959999084473","-0.329199999570847",0.14
"ACOT4","8.37670040130615","-0.427500009536743",0.15
"ACOX1","9.73610019683838","-0.377900004386902",0.14
"ACOX2","5.80329990386963","0.119199998676777",0.14
"ACOX3","7.92899990081787","0.442299991846085",0.16
"ACSF3","8.07349967956543","-0.480800002813339",0.13
"ACSS3","4.91510009765625","-0.373499989509583",0.15
"ACTA1","0","-0.104400001466274",0.14
"ACTB","17.2285003662109","0.1891999989748",0.15
"ACTG1","15.6284999847412","0.0303000006824732",0.13
"ACTL6B","0","-0.30239999294281",0.14
"ACTN1","11.6142997741699","-0.0865999981760979",0.14
"ACTN2","3.79029989242554","-0.399300009012222",0.15
"ACTN3","0","0.217999994754791",0.15
"ACTN4","14.2239999771118","0.441599994897842",0.12
"ACTR1A","12.0178003311157","0.349799990653992",0.15
"ACTR3B","6.36950016021729","-0.449299991130829",0.12
"ACTR8","7.46920013427734","-0.463499993085861",0.16
"ACVR1C","3.36949992179871","0.417600005865097",0.13
"ADAM12","7.96990013122559","0.382299989461899",0.14
"ADAM15","11.8794002532959","0.0154999997466803",0.15
"ADAM28","2.77279996871948","0.288700014352798",0.14
"ADAMTS5","11.7318000793457","0.0520000010728836",0.15
"ADAR","12.2243003845215","-0.400700002908707",0.14
"ADCY1","8.36149978637695","-0.442099988460541",0.16
"ADCY2","0","-0.119000002741814",0.14
"ADCY3","9.8390998840332","0.363400012254715",0.14
"ADCY5","4.11569976806641","-0.0666999965906143",0.14
"ADCY7","7.68090009689331","0.284099996089935",0.14
"ADCY8","2.50270009040833","0.25560000538826",0.15
"ADCY9","10.41100025177","-0.447299987077713",0.14
"ADCYAP1R1","0","-0.444400012493134",0.15
"ADNP","10.3529996871948","-0.477600008249283",0.13
"ADORA1","7.29790019989014","0.0522999987006187",0.16
"ADRA1A","2.77279996871948","0.423700004816055",0.15
"ADRA2B","8.67329978942871","0.302500009536743",0.15
"AEBP2","9.46549987792969","-0.442200005054474",0.13
"AFF4","11.0209999084473","-0.1925999969244",0.15
"AGAP2","6.09000015258789","0.0160000007599592",0.14
"AGK","8.44110012054443","-0.433800011873245",0.16
"AGL","8.757399559021","-0.174899995326996",0.14
"AGRN","12.992600440979","0.142599999904633",0.15
"AGT","8.76900005340576","-0.00760000012814999",0.14
"AGTR1","9.35669994354248","-0.458999991416931",0.14
"AKAP9","9.25290012359619","-0.488000005483627",0.14
"AKT2","10.2952003479004","0.400000005960464",0.14
"AKT3","10.0504999160767","0.192300006747246",0.16
"ALDH1A3","7.83690023422241","0.399300009012222",0.14
"ALDH3A1","7.55229997634888","-0.368699997663498",0.14
"ALDH3A2","11.1738004684448","0.388599991798401",0.13
"ALDOA","14.8125","-0.253800004720688",0.13
"ALDOB","10.921199798584","0.349900007247925",0.15
"ALK","0","-0.477400004863739",0.15
"AMBN","0","-0.000500000023748726",0.15
"AMDHD1","6.98890018463135","-0.47350001335144",0.14
"ANAPC4","8.60569953918457","-0.372999995946884",0.13
"ANGPT4","2.50270009040833","-0.163499996066093",0.13
"ANGPTL3","3.66319990158081","0.412000000476837",0.12
"ANK1","3.66319990158081","-0.284599989652634",0.14
"ANK2","7.28719997406006","0.359400004148483",0.15
"ANK3","9.98890018463135","-0.114100001752377",0.13
"ANLN","6.19659996032715","0.423700004816055",0.15
"ANO1","11.4179000854492","0.287400007247925",0.14
"ANO6","11.362099647522","0.417499989271164",0.14
"AOC2","5.30399990081787","0.270000010728836",0.14
"AOX1","9.61680030822754","-0.338800013065338",0.13
"AP1B1","11.0339002609253","0.336499989032745",0.14
"AP1G1","10.336199760437","-0.37610000371933",0.15
"AP1G2","9.55469989776611","-0.449600011110306",0.13
"AP2A1","10.766900062561","0.30919998884201",0.13
"AP2A2","10.9832000732422","0.0769999995827675",0.15
"AP2B1","12.1876001358032","-0.405900001525879",0.14
"AP3B1","9.50769996643066","-0.302199989557266",0.14
"AP4E1","7.55229997634888","0.426800012588501",0.13
"AP4M1","8.72189998626709","0.284000009298325",0.12
"APAF1","7.88700008392334","-0.476099997758865",0.14
"APBB1IP","9.13510036468506","-0.30019998550415",0.14
"APC","9.18220043182373","-0.427599996328354",0.14
"APEX1","10.7924003601074","-0.416000008583069",0.13
"APLP2","13.8064002990723","0.0678000003099442",0.14
"APOA1","2.50270009040833","-0.46560001373291",0.14
"APOA5","0","0.0208000000566244",0.14
"APOB","1.11559998989105","-0.00359999993816018",0.14
"APP","14.6968002319336","0.37279999256134",0.13
"AQR","9.02950000762939","-0.480399996042252",0.15
"ARAP1","10.2791004180908","0.305099993944168",0.14
