"from","to","Saliency","IntegratedGradients"
"MGAT3","MGAT4B","0.97","0.12"
"MGAT3","MGAT5","0.92","0.64"
"MGAT4B","MGAT5","0.85","0.69"
"MGAT4B","MGAT5B","1.0","1.0"
"MGAT5","MGAT5B","0.85","0.69"
