"from","to","Saliency","IntegratedGradients"
"MGAT3","MGAT4B","1.0","1.0"
"MGAT3","MGAT5","0.67","0.56"
"MGAT4B","MGAT5","0.75","0.28"
"MGAT4B","MGAT5B","0.07","0.24"
"MGAT5","MGAT5B","0.1","0.15"
