"label","mRNA","methy","GNNExplainer"
"ABAT","8.519700050354","-0.213200002908707",0.15
"ABCA1","10.8163995742798","0.36259999871254",0.15
"ABCB1","8.83329963684082","-0.286100000143051",0.14
"ABCB4","7.96220016479492","-0.455599993467331",0.14
"ABI1","10.4027996063232","-0.467599987983704",0.14
"ABL1","11.1647996902466","0.435099989175797",0.15
"ABL2","10.3379001617432","0.200900003314018",0.15
"ACACA","9.19019985198975","-0.00430000014603138",0.14
"ACACB","10.2659997940063","-0.42289999127388",0.13
"ACAN","8.10649967193604","-0.108999997377396",0.14
"ACIN1","11.5741996765137","-0.472499996423721",0.14
"ACLY","13.5980997085571","-0.0109000001102686",0.16
"ACO1","10.4181003570557","-0.480100005865097",0.15
"ACO2","11.7252998352051","-0.142399996519089",0.14
"ACOT4","5.86959981918335","-0.449699997901917",0.15
"ACOX1","10.3847999572754","-0.418500006198883",0.14
"ACOX2","7.40880012512207","-0.0901999995112419",0.14
"ACOX3","7.82420015335083","0.456099987030029",0.16
"ACSF3","8.53629970550537","-0.475899994373322",0.13
"ACSS3","8.69779968261719","-0.276600003242493",0.15
"ACTA1","1.10909998416901","-0.412600010633469",0.14
"ACTB","15.4425001144409","0.166700005531311",0.15
"ACTG1","14.9154996871948","-0.23589999973774",0.13
"ACTL6B","0","-0.0930000022053719",0.14
"ACTN1","11.8945999145508","-0.0339000001549721",0.14
"ACTN2","4.13619995117188","-0.441000014543533",0.15
"ACTN3","1.34640002250671","0.176400005817413",0.15
"ACTN4","13.4520998001099","0.411300003528595",0.12
"ACTR1A","11.0560998916626","0.391999989748001",0.15
"ACTR3B","6.97240018844604","-0.423400014638901",0.12
"ACTR8","8.2116003036499","-0.450899988412857",0.16
"ACVR1C","2.39030003547668","0.402399986982346",0.13
"ADAM12","5.30630016326904","0.37270000576973",0.14
"ADAM15","10.9914999008179","-0.00469999993219972",0.15
"ADAM28","6.70550012588501","0.136999994516373",0.14
"ADAMTS5","9.76290035247803","0.358300000429153",0.15
"ADAR","12.7489995956421","-0.423200011253357",0.14
"ADCY1","8.01910018920898","-0.444599986076355",0.16
"ADCY2","5.78130006790161","0.277599990367889",0.14
"ADCY3","10.9490995407104","0.306600004434586",0.14
"ADCY5","10.5482997894287","-0.398499995470047",0.14
"ADCY7","9.2923002243042","0.182199999690056",0.14
"ADCY8","0.824899971485138","-0.323199987411499",0.15
"ADCY9","10.424599647522","-0.39520001411438",0.14
"ADCYAP1R1","0","-0.45100000500679",0.15
"ADNP","11.237099647522","-0.467200011014938",0.13
"ADORA1","9.36410045623779","-0.412099987268448",0.16
"ADRA1A","5.58659982681274","0.196700006723404",0.15
"ADRA2B","8.25780010223389","0.262800008058548",0.15
"AEBP2","9.8528995513916","-0.454100012779236",0.13
"AFF4","11.6656999588013","0.0109999999403954",0.15
"AGAP2","6.72569990158081","0.240299999713898",0.14
"AGK","9.32909965515137","-0.44420000910759",0.16
"AGL","9.16619968414307","-0.227099999785423",0.14
"AGRN","13.233099937439","-0.0115000000223517",0.15
"AGT","10.7877998352051","-0.120800003409386",0.14
