"label","mRNA","methy","GNNExplainer"
"ABAT","9.87919998168945","-0.0207000002264977",0.15
"ABCA1","9.14599990844727","0.351700007915497",0.15
"ABCB1","5.60989999771118","0.336400002241135",0.14
"ABCB4","3.75029993057251","0.224700003862381",0.14
"ABI1","10.568699836731","0.287800014019012",0.14
"ABL1","11.0291996002197","0.411399990320206",0.15
"ABL2","10.1668996810913","-0.441700011491776",0.15
"ACACA","12.1273002624512","-0.202999994158745",0.14
"ACACB","10.0675001144409","0.345600008964539",0.13
"ACAN","6.67810010910034","-0.405299991369247",0.14
"ACIN1","11.6301002502441","-0.3057000041008",0.14
"ACLY","13.3232002258301","-0.284099996089935",0.16
"ACO1","9.28569984436035","-0.421299993991852",0.15
"ACO2","12.0281000137329","-0.455199986696243",0.14
"ACOT4","6.83430004119873","-0.371199995279312",0.15
"ACOX1","11.1014995574951","-0.482800006866455",0.14
"ACOX2","7.9064998626709","0.114399999380112",0.14
"ACOX3","10.0628004074097","-0.111599996685982",0.16
"ACSF3","7.93020009994507","0.302300006151199",0.13
"ACSS3","9.07120037078857","-0.144299998879433",0.15
"ACTA1","3.55010008811951","-0.209999993443489",0.14
"ACTB","15.7178001403809","-0.300000011920929",0.15
"ACTG1","15.9919996261597","-0.367500007152557",0.13
"ACTL6B","0","0.174600005149841",0.14
"ACTN1","11.579400062561","0.186599999666214",0.14
"ACTN2","0.805199980735779","0.179499998688698",0.15
"ACTN3","0","0.352600008249283",0.15
"ACTN4","13.4652004241943","0.180000007152557",0.12
"ACTR1A","11.1374998092651","-0.480199992656708",0.15
"ACTR3B","6.7960000038147","0.389400005340576",0.12
"ACTR8","8.70839977264404","-0.0465000011026859",0.16
"ACVR1C","5.28060007095337","0.157499998807907",0.13
"ADAM12","9.31809997558594","-0.0940999984741211",0.14
"ADAM15","11.516900062561","-0.0500000007450581",0.15
"ADAM28","4.56510019302368","0.303799986839294",0.14
"ADAMTS5","7.14739990234375","0.399300009012222",0.15
"ADAR","13.5965995788574","-0.472400009632111",0.14
"ADCY1","9.83619976043701","-0.451700001955032",0.16
"ADCY2","3.28099989891052","-0.389299988746643",0.14
"ADCY3","10.1728000640869","0.287099987268448",0.14
"ADCY5","6.71619987487793","0.471799999475479",0.14
"ADCY7","8.05580043792725","0.246500000357628",0.14
"ADCY8","0.583299994468689","-0.395999997854233",0.15
"ADCY9","9.70590019226074","0.0131999999284744",0.14
"ADCYAP1R1","0.805199980735779","-0.488099992275238",0.15
"ADNP","12.3690004348755","-0.469099998474121",0.13
"ADORA1","7.86700010299683","-0.340999990701675",0.16
"ADRA1A","0.997500002384186","-0.0531000010669231",0.15
"ADRA2B","4.5952000617981","0.0789000019431114",0.15
"AEBP2","9.02499961853027","-0.444099992513657",0.13
"AFF4","12.1482000350952","-0.480699986219406",0.15
"AGAP2","5.9423999786377","0.162400007247925",0.14
"AGK","9.27120018005371","-0.478899985551834",0.16
"AGL","13.3858003616333","-0.347499996423721",0.14
"AGRN","12.1484003067017","0.421499997377396",0.15
"AGT","5.58010005950928","0.0851999968290329",0.14
"AGTR1","13.2800998687744","-0.317699998617172",0.14
"AKAP9","11.8727998733521","-0.473300009965897",0.14
"AKT2","11.8510999679565","0.0388999991118908",0.14
"AKT3","8.88459968566895","0.301699995994568",0.16
"ALDH1A3","7.76259994506836","0.419400006532669",0.14
"ALDH3A1","0.805199980735779","0.219600006937981",0.14
"ALDH3A2","8.70930004119873","0.399399995803833",0.13
"ALDOA","14.4910001754761","0.0461000017821789",0.13
"ALDOB","1.80379998683929","0.299600005149841",0.15
"ALK","1.4563000202179","0.151399999856949",0.15
"AMBN","0","0.237000003457069",0.15
"AMDHD1","6.13469982147217","-0.398699998855591",0.14
"ANAPC4","8.81999969482422","-0.485300004482269",0.13
"ANGPT4","0.583299994468689","0.257200002670288",0.13
"ANGPTL3","0.805199980735779","0.205300003290176",0.12
"ANK1","9.62399959564209","-0.220100000500679",0.14
"ANK2","7.51669979095459","0.322800010442734",0.15
"ANK3","9.2874002456665","0.290499985218048",0.13
"ANLN","9.2741003036499","0.412400007247925",0.15
"ANO1","11.7789001464844","-0.353799998760223",0.14
"ANO6","10.6546001434326","-0.487199991941452",0.14
"AOC2","4.08279991149902","0.361099988222122",0.14
"AOX1","5.59509992599487","0.124600000679493",0.13
"AP1B1","11.4203996658325","0.36379998922348",0.14
"AP1G1","11.2587995529175","-0.098300002515316",0.15
"AP1G2","10.6960000991821","-0.467799991369247",0.13
"AP2A1","10.9113998413086","0.41159999370575",0.13
"AP2A2","10.1761999130249","0.426899999380112",0.15
"AP2B1","13.7088003158569","-0.468800008296967",0.14
"AP3B1","10.5487003326416","-0.108599998056889",0.14
"AP4E1","8.86159992218018","-0.473300009965897",0.13
"AP4M1","9.43150043487549","-0.466100007295609",0.12
"APAF1","9.42339992523193","-0.488000005483627",0.14
"APBB1IP","6.42140007019043","-0.353399991989136",0.14
"APC","10.0714998245239","-0.100400000810623",0.14
"APEX1","10.8107995986938","-0.429399996995926",0.13
"APLP2","13.4877004623413","0.38400000333786",0.14
"APOA1","0","0.281300008296967",0.14
"APOA5","0","-0.206400007009506",0.14
"APOB","2.58080005645752","0.162900000810623",0.14
"APP","14.5333995819092","0.0291000008583069",0.13
"AQR","10.4221000671387","-0.470099985599518",0.15
"ARAP1","11.7646999359131","0.374700009822845",0.14
"ARAP2","8.13329982757568","-0.400999993085861",0.14
"ARHGAP12","10.0397996902466","-0.425799995660782",0.15
"ARHGAP21","10.5318002700806","0.125100001692772",0.13
"ARHGAP29","11.5811996459961","-0.418500006198883",0.14
"ARHGAP30","6.85620021820068","0.282900005578995",0.15
"ARHGAP5","10.8284997940063","-0.459199994802475",0.13
"ARHGAP9","4.75010013580322","0.110100001096725",0.15
"ARHGEF1","10.3838996887207","0.352899998426437",0.13
"ARHGEF10L","9.75660037994385","0.249500006437302",0.14
"ARHGEF11","10.6014995574951","-0.0698999986052513",0.16
"ARHGEF12","11.9702997207642","-0.341500014066696",0.12
"ARHGEF15","8.3125","0.27140000462532",0.16
"ARHGEF17","10.586799621582","0.336499989032745",0.13
"ARHGEF4","3.63930010795593","0.418099999427795",0.16
"ARHGEF5","9.60519981384277","0.454499989748001",0.13
"ARID1A","12.0805997848511","-0.458099991083145",0.15
"ARID4A","8.45450019836426","-0.43979999423027",0.15
"ARNT","10.3741998672485","-0.480800002813339",0.15
"ARPC2","11.6541996002197","0.448100000619888",0.16
"ARSB","8.14739990234375","0.360900014638901",0.16
"ASPH","12.5249996185303","0.245600000023842",0.15
"ASXL1","10.4983997344971","-0.482600003480911",0.16
"ATF2","9.37769985198975","-0.483000010251999",0.14
"ATG7","9.49230003356934","0.376899987459183",0.14
"ATN1","12.0397996902466","-0.291399985551834",0.16
"ATP11A","9.35859966278076","0.195999994874001",0.14
"ATP12A","0","-0.427300006151199",0.13
"ATP1A1","13.916600227356","0.398699998855591",0.15
"ATP1B1","10.5299997329712","-0.105400003492832",0.12
"ATP2A1","3.20499992370605","0.349400013685226",0.13
"ATP2A2","12.5183000564575","-0.484499990940094",0.15
"ATP6V1A","11.399299621582","-0.472000002861023",0.15
"ATP8A1","9.68509960174561","0.191699996590614",0.14
"ATP8B2","9.18739986419678","-0.387800008058548",0.14
"ATP8B4","4.37029981613159","0.354400008916855",0.14
"ATR","10.1149997711182","-0.483900010585785",0.15
"AXIN1","9.6358003616333","0.412000000476837",0.16
"AXIN2","8.96440029144287","-0.182699993252754",0.14
"AXL","8.69550037384033","0.300599992275238",0.16
"B2M","13.2229995727539","0.458700001239777",0.15
"B3GNT5","5.47090005874634","0.148399993777275",0.14
"BAAT","0.997500002384186","0.276100009679794",0.14
"BACH1","8.94120025634766","-0.00989999994635582",0.14
"BAK1","8.89369964599609","0.303700000047684",0.15
"BAP1","10.3177995681763","0.405400007963181",0.14
"BAZ1A","10.4154996871948","-0.463299989700317",0.15
"BAZ1B","11.6925001144409","-0.386900007724762",0.13
"BCAN","0.805199980735779","0.179700002074242",0.14
"BCAR1","9.421799659729","0.294800013303757",0.13
"BCAS2","9.59099960327148","-0.470200002193451",0.14
"BCL2L11","10.0166997909546","-0.211799994111061",0.17
"BCL6","8.98519992828369","0.0608999989926815",0.15
"BCL9","10.3481998443604","-0.479299992322922",0.16
"BCL9L","10.3261995315552","0.444700002670288",0.13
"BCR","11.2418003082275","0.189500004053116",0.14
"BDKRB2","8.0201997756958","-0.420399993658066",0.14
"BICD2","9.82320022583008","0.383500009775162",0.13
"BIRC3","5.47900009155273","0.4375",0.14
"BLK","0","0.35479998588562",0.14
"BLM","7.78950023651123","0.412200003862381",0.14
"BMP1","8.60519981384277","0.333000004291534",0.14
"BMS1","10.3970003128052","-0.451099991798401",0.15
"BRAP","9.56779956817627","-0.486400008201599",0.13
"BRCA1","9.58889961242676","-0.483399987220764",0.14
"BRCA2","6.49889993667603","-0.482400000095367",0.15
