"from","to","Saliency","IntegratedGradients"
"MGAT3","MGAT4B","1.0","1.0"
"MGAT3","MGAT5","0.29","0.36"
"MGAT4B","MGAT5","0.51","0.39"
"MGAT4B","MGAT5B","0.21","0.42"
"MGAT5","MGAT5B","0.3","0.24"
