"label","mRNA","methy","GNNExplainer"
"ABAT","8.28719997406006","-0.12610000371933",0.15
"ABCA1","11.4125003814697","0.291200011968613",0.15
"ABCB1","9.28779983520508","-0.374099999666214",0.14
"ABCB4","7.55000019073486","-0.464700013399124",0.14
"ABI1","10.3438997268677","-0.467299997806549",0.14
"ABL1","10.6876001358032","0.447699993848801",0.15
"ABL2","10.0784997940063","-0.201199993491173",0.15
"ACACA","9.44659996032715","0.119599997997284",0.14
"ACACB","9.41310024261475","-0.379000008106232",0.13
"ACAN","10.1724996566772","0.0206000003963709",0.14
"ACIN1","11.1077995300293","-0.474400013685226",0.14
"ACLY","12.7818002700806","0.0575999990105629",0.16
"ACO1","11.1733999252319","-0.487800002098083",0.15
"ACO2","12.207799911499","-0.0886000022292137",0.14
"ACOT4","8.38290023803711","-0.459600001573563",0.15
"ACOX1","10.2616996765137","-0.438300013542175",0.14
"ACOX2","8.0334997177124","-0.0920000001788139",0.14
"ACOX3","8.03009986877441","0.433899998664856",0.16
"ACSF3","8.59389972686768","-0.487899988889694",0.13
"ACSS3","9.37180042266846","-0.0807000026106834",0.15
"ACTA1","1.53069996833801","-0.192800000309944",0.14
"ACTB","16.3085994720459","0.0852999985218048",0.15
"ACTG1","15.1113996505737","-0.397599995136261",0.13
"ACTL6B","0","0.0575999990105629",0.14
"ACTN1","11.9319000244141","0.0904999971389771",0.14
"ACTN2","3.83030009269714","-0.0129000004380941",0.15
"ACTN3","1.67990005016327","0.118100002408028",0.15
"ACTN4","13.3965997695923","0.386599987745285",0.12
"ACTR1A","11.186900138855","0.367399990558624",0.15
"ACTR3B","6.48339986801147","-0.408899992704391",0.12
"ACTR8","8.57019996643066","-0.473399996757507",0.16
"ACVR1C","5.28900003433228","0.432599991559982",0.13
"ADAM12","8.29010009765625","0.367799997329712",0.14
"ADAM15","11.1577997207642","0.158000007271767",0.15
"ADAM28","8.52530002593994","0.217700004577637",0.14
"ADAMTS5","10.0424003601074","0.431400001049042",0.15
"ADAR","12.6661996841431","-0.437000006437302",0.14
"ADCY1","7.60230016708374","-0.375600010156631",0.16
"ADCY2","3.38490009307861","0.380800008773804",0.14
"ADCY3","10.1184997558594","0.357600003480911",0.14
"ADCY5","9.97039985656738","-0.350499987602234",0.14
"ADCY7","9.85939979553223","0.168200001120567",0.14
"ADCY8","5.76049995422363","-0.285299986600876",0.15
"ADCY9","10.0368003845215","-0.305500000715256",0.14
"ADCYAP1R1","0.395000010728836","-0.421600013971329",0.15
"ADNP","10.8950996398926","-0.481400012969971",0.13
"ADORA1","5.77720022201538","-0.296400010585785",0.16
"ADRA1A","3.98169994354248","0.369599997997284",0.15
"ADRA2B","6.8253002166748","0.402500003576279",0.15
"AEBP2","9.66600036621094","-0.469799995422363",0.13
"AFF4","11.9867000579834","-0.189400002360344",0.15
"AGAP2","7.56020021438599","0.0175999999046326",0.14
"AGK","9.47500038146973","-0.384099990129471",0.16
"AGL","9.06760025024414","-0.23759999871254",0.14
"AGRN","12.726300239563","0.0302000008523464",0.15
"AGT","11.8955001831055","-0.0557000003755093",0.14
"AGTR1","5.84989976882935","-0.446200013160706",0.14
"AKAP9","10.3908004760742","-0.488900005817413",0.14
"AKT2","11.066499710083","0.0465999990701675",0.14
"AKT3","9.61250019073486","0.123999997973442",0.16
"ALDH1A3","7.73899984359741","0.300599992275238",0.14
"ALDH3A1","4.52610015869141","-0.446000009775162",0.14
"ALDH3A2","10.8982000350952","0.351099997758865",0.13
"ALDOA","15.5792999267578","-0.284099996089935",0.13
"ALDOB","10.770299911499","0.00889999978244305",0.15
"ALK","2.25650000572205","-0.481200009584427",0.15
"AMBN","0","-0.0782999992370605",0.15
"AMDHD1","7.17880010604858","-0.466699987649918",0.14
"ANAPC4","8.67840003967285","-0.306300014257431",0.13
"ANGPT4","2.59400010108948","0.00749999983236194",0.13
"ANGPTL3","2.15820002555847","0.457800000905991",0.12
"ANK1","9.00090026855469","-0.190400004386902",0.14
"ANK2","10.1457996368408","-0.0795999988913536",0.15
"ANK3","9.91639995574951","0.0171000007539988",0.13
