"from","to","Saliency","IntegratedGradients"
"MGAT3","MGAT4B","0.66","1.0"
"MGAT3","MGAT5","0.01","0.25"
"MGAT4B","MGAT5","1.0","0.58"
"MGAT4B","MGAT5B","0.73","0.71"
"MGAT5","MGAT5B","0.77","0.49"
