"from","to","Saliency","IntegratedGradients"
"MGAT3","MGAT4B","1.0","1.0"
"MGAT3","MGAT5","0.23","0.23"
"MGAT4B","MGAT5","0.39","0.47"
"MGAT4B","MGAT5B","0.1","0.34"
"MGAT5","MGAT5B","0.12","0.07"
