"label","mRNA","methy","GNNExplainer"
"ABAT","7.5952000617981","-0.182300001382828",0.15
"ABCA1","11.3008003234863","0.144099995493889",0.15
"ABCB1","7.52279996871948","-0.392899990081787",0.14
"ABCB4","3.48040008544922","-0.419200003147125",0.14
"ABI1","10.5453996658325","-0.469799995422363",0.14
"ABL1","10.5960998535156","0.418300002813339",0.15
"ABL2","11.1606998443604","-0.0564000010490417",0.15
"ACACA","8.66549968719482","0.184799998998642",0.14
"ACACB","8.88770008087158","0.0366999991238117",0.13
"ACAN","11.1135997772217","-0.0245999991893768",0.14
"ACIN1","10.7698001861572","-0.464800000190735",0.14
"ACLY","12.6794004440308","-0.164499998092651",0.16
"ACO1","10.851900100708","-0.482699990272522",0.15
"ACO2","11.2820997238159","-0.198699995875359",0.14
"ACOT4","5.48540019989014","-0.442900002002716",0.15
"ACOX1","9.78470039367676","-0.437599986791611",0.14
"ACOX2","7.1121997833252","-0.0785999968647957",0.14
"ACOX3","8.33380031585693","0.434599995613098",0.16
"ACSF3","7.1085000038147","-0.334199994802475",0.13
"ACSS3","8.23999977111816","0.157600000500679",0.15
"ACTA1","3.17930006980896","0.0511000007390976",0.14
"ACTB","16.368200302124","0.116700001060963",0.15
"ACTG1","15.628999710083","0.138400003314018",0.13
"ACTL6B","0","-0.0149999996647239",0.14
"ACTN1","12.7329998016357","-0.198599994182587",0.14
"ACTN2","4.84200000762939","-0.142100006341934",0.15
"ACTN3","0","0.283800005912781",0.15
"ACTN4","13.2503995895386","0.439500004053116",0.12
"ACTR1A","10.9029998779297","0.379000008106232",0.15
"ACTR3B","6.67609977722168","-0.394600003957748",0.12
"ACTR8","8.85099983215332","-0.460299998521805",0.16
"ACVR1C","3.80369997024536","0.430500000715256",0.13
"ADAM12","9.80039978027344","0.275799989700317",0.14
"ADAM15","10.5882997512817","0.256399989128113",0.15
"ADAM28","8.36180019378662","0.186100006103516",0.14
"ADAMTS5","9.97130012512207","0.395099997520447",0.15
"ADAR","12.6647996902466","-0.4408999979496",0.14
"ADCY1","6.53609991073608","-0.20100000500679",0.16
"ADCY2","9.24590015411377","-0.223800003528595",0.14
"ADCY3","9.63440036773682","0.430299997329712",0.14
"ADCY5","8.48540019989014","0.00899999961256981",0.14
"ADCY7","9.37489986419678","0.227699995040894",0.14
"ADCY8","0","-0.272899985313416",0.15
"ADCY9","9.82289981842041","-0.342599987983704",0.14
"ADCYAP1R1","0.433400005102158","-0.415399998426437",0.15
"ADNP","10.9284000396729","-0.477200001478195",0.13
"ADORA1","4.91079998016357","-0.268500000238419",0.16
"ADRA1A","1.92719995975494","0.407799988985062",0.15
"ADRA2B","5.35559988021851","0.36599999666214",0.15
"AEBP2","10.1641998291016","-0.459300011396408",0.13
"AFF4","11.3844995498657","-0.175300002098083",0.15
"AGAP2","7.06529998779297","0.3057000041008",0.14
"AGK","8.40419960021973","-0.343899995088577",0.16
"AGL","8.88990020751953","-0.0522999987006187",0.14
"AGRN","12.3842000961304","0.202399998903275",0.15
"AGT","8.52159976959229","-0.0500999987125397",0.14
"AGTR1","4.59250020980835","-0.400000005960464",0.14
"AKAP9","10.1135997772217","-0.485700011253357",0.14
"AKT2","10.4884004592896","0.387800008058548",0.14
"AKT3","11.2188997268677","0.10249999910593",0.16
"ALDH1A3","6.34310007095337","0.382999986410141",0.14
"ALDH3A1","4.82429981231689","-0.411900013685226",0.14
"ALDH3A2","11.2179002761841","0.447499990463257",0.13
"ALDOA","15.4299001693726","-0.313800007104874",0.13
"ALDOB","4.80630016326904","0.417800009250641",0.15
"ALK","4.99249982833862","-0.476599991321564",0.15
"AMBN","0","-0.0285999998450279",0.15
"AMDHD1","6.04050016403198","-0.473199993371964",0.14
"ANAPC4","8.83670043945312","-0.393500000238419",0.13
"ANGPT4","0.766200006008148","-0.1283999979496",0.13
"ANGPTL3","1.03649997711182","0.382099986076355",0.12
"ANK1","6.13700008392334","-0.342000007629395",0.14
"ANK2","7.90240001678467","-0.115299999713898",0.15
"ANK3","8.55830001831055","-0.10869999974966",0.13
"ANLN","7.25799989700317","0.390899986028671",0.15
"ANO1","9.67800045013428","-0.0148999998345971",0.14
"ANO6","12.5752000808716","0.326099991798401",0.14
"AOC2","2.47379994392395","0.299100011587143",0.14
"AOX1","9.56239986419678","-0.155799999833107",0.13
"AP1B1","11.8320999145508","0.175300002098083",0.14
"AP1G1","10.8718004226685","-0.391200006008148",0.15
"AP1G2","8.34770011901855","-0.443300008773804",0.13
"AP2A1","10.6296997070312","0.27360001206398",0.13
"AP2A2","11.1982002258301","0.378199994564056",0.15
"AP2B1","12.1995000839233","-0.137999996542931",0.14
"AP3B1","10.5402002334595","-0.297500014305115",0.14
"AP4E1","7.98059988021851","0.440499991178513",0.13
"AP4M1","9.40919971466064","0.221399992704391",0.12
"APAF1","8.91100025177002","-0.471399992704391",0.14
"APBB1IP","10.5117998123169","-0.444499999284744",0.14
"APC","9.69209957122803","-0.452699989080429",0.14
"APEX1","11.7829999923706","-0.455799996852875",0.13
"APLP2","14.3557996749878","-0.281800001859665",0.14
"APOA1","0","-0.468100011348724",0.14
"APOA5","0","0.0368000008165836",0.14
"APOB","4.84200000762939","0.234300002455711",0.14
"APP","14.9236001968384","0.156200006604195",0.13
"AQR","9.4798002243042","-0.480399996042252",0.15
"ARAP1","11.2458000183105","0.217600002884865",0.14
"ARAP2","8.48120021820068","-0.438199996948242",0.14
"ARHGAP12","9.32289981842041","-0.359200000762939",0.15
"ARHGAP21","9.71389961242676","-0.406899988651276",0.13
"ARHGAP29","11.2276000976562","0.250099986791611",0.14
"ARHGAP30","10.309100151062","0.136700004339218",0.15
"ARHGAP5","10.1483001708984","-0.468100011348724",0.13
"ARHGAP9","7.81979990005493","0.0297999996691942",0.15
"ARHGEF1","9.94019985198975","0.342900007963181",0.13
"ARHGEF10L","9.6693000793457","-0.155100002884865",0.14
"ARHGEF11","9.63290023803711","0.410400003194809",0.16
"ARHGEF12","12.166600227356","-0.33050000667572",0.12
"ARHGEF15","9.73540019989014","-0.197400003671646",0.16
"ARHGEF17","11.296199798584","0.38960000872612",0.13
"ARHGEF4","1.46039998531342","0.0949999988079071",0.16
"ARHGEF5","7.42910003662109","-0.283600002527237",0.13
"ARID1A","10.5179996490479","0.0120999999344349",0.15
"ARID4A","8.73239994049072","-0.442600011825562",0.15
"ARNT","10.9975004196167","-0.48759999871254",0.15
"ARPC2","12.5300998687744","-0.0253999996930361",0.16
"ARSB","9.57839965820312","-0.233400002121925",0.16
"ASPH","12.2410001754761","-0.467999994754791",0.15
"ASXL1","10.742600440979","-0.471100002527237",0.16
"ATF2","8.57830047607422","-0.46450001001358",0.14
"ATG7","9.91689968109131","0.363099992275238",0.14
"ATN1","11.1822004318237","-0.219500005245209",0.16
"ATP11A","11.5143995285034","-0.226699993014336",0.14
"ATP12A","0","-0.393799990415573",0.13
"ATP1A1","13.2819995880127","-0.0386999994516373",0.15
"ATP1B1","14.2220001220703","-0.194399997591972",0.12
"ATP2A1","3.1224000453949","-0.48089998960495",0.13
"ATP2A2","12.2088003158569","0.243399992585182",0.15
"ATP6V1A","11.4085998535156","-0.442499995231628",0.15
"ATP8A1","7.45529985427856","0.370900005102158",0.14
"ATP8B2","9.04049968719482","0.206200003623962",0.14
"ATP8B4","7.26789999008179","-0.20720000565052",0.14
"ATR","8.46689987182617","0.440499991178513",0.15
"AXIN1","8.93389987945557","0.402200013399124",0.16
"AXIN2","5.93699979782104","0.139799997210503",0.14
"AXL","12.2114000320435","-0.473100006580353",0.16
"B2M","16.3556995391846","0.418199986219406",0.15
"B3GNT5","9.43959999084473","0.369500011205673",0.14
"BAAT","1.03649997711182","-0.00669999979436398",0.14
"BACH1","11.2417001724243","0.232400000095367",0.14
"BAK1","8.5556001663208","0.273799985647202",0.15
"BAP1","10.2284002304077","0.404599994421005",0.14
"BAZ1A","9.36880016326904","-0.447100013494492",0.15
"BAZ1B","11.0770998001099","-0.420500010251999",0.13
"BCAN","3.65109992027283","-0.465000003576279",0.14
"BCAR1","10.1226997375488","0.00769999995827675",0.13
"BCAS2","9.58150005340576","-0.450199991464615",0.14
"BCL2L11","9.62520027160645","-0.480699986219406",0.17
"BCL6","10.8182001113892","-0.149299994111061",0.15
"BCL9","9.16639995574951","-0.388599991798401",0.16
"BCL9L","11.2363996505737","0.173299998044968",0.13
"BCR","9.64169979095459","0.366899996995926",0.14
"BDKRB2","11.0981998443604","-0.212200000882149",0.14
"BICD2","10.3055000305176","0.240099996328354",0.13
"BIRC3","11.1461000442505","-0.173800006508827",0.14
"BLK","3.43440008163452","-0.389499992132187",0.14
"BLM","5.03940010070801","0.453599989414215",0.14
"BMP1","10.4865999221802","0.382600009441376",0.14
"BMS1","10.2979001998901","-0.440400004386902",0.15
"BRAP","9.48760032653809","-0.483500003814697",0.13
"BRCA1","6.66620016098022","0.171499997377396",0.14
"BRCA2","5.83449983596802","0.41389998793602",0.15
"BRD1","9.09879970550537","0.231900006532669",0.13
"BRD4","9.83950042724609","0.189899995923042",0.16
"BRD7","10.3233995437622","-0.0772000029683113",0.14
"BRD8","10.1964998245239","-0.471500009298325",0.15
"BRIP1","3.48040008544922","-0.425799995660782",0.13
"BRPF1","8.5064001083374","0.431199997663498",0.14
"BRWD1","10.1339998245239","-0.460799992084503",0.14
"BUB1","5.49660015106201","-0.331699997186661",0.14
"BUB3","10.7321996688843","-0.471399992704391",0.13
"C1GALT1","8.92360019683838","-0.483200013637543",0.14
"C2","11.0481004714966","0.395300000905991",0.15
"C3","13.5398998260498","0.293999999761581",0.16
"C3AR1","10.0595998764038","0.0732999965548515",0.13
"C5","6.79010009765625","0.437900006771088",0.14
"C5AR1","10.2084999084473","0.0688999965786934",0.14
"C7","8.72760009765625","-0.070200003683567",0.14
"CABIN1","9.74549961090088","-0.458600014448166",0.15
"CACNA1C","7.76739978790283","0.357899993658066",0.15
"CACNA1D","2.64520001411438","-0.136399999260902",0.15
"CACNA1S","3.00139999389648","0.243599995970726",0.15
"CACNA2D1","6.77640008926392","-0.439300000667572",0.14
"CACNB1","6.81729984283447","-0.480599999427795",0.14
"CACNB2","6.03280019760132","-0.287400007247925",0.13
"CACNG3","0","-0.398900002241135",0.15
"CALCRL","10.9980001449585","-0.204799994826317",0.15
"CALD1","14.4877004623413","0.358000010251999",0.13
"CAMK2A","1.2639000415802","0.320600003004074",0.15
"CAMK2D","10.1330995559692","0.305000007152557",0.14
"CAMK4","3.65109992027283","-0.486699998378754",0.16
"CAP2","8.28610038757324","-0.113499999046326",0.14
"CAPG","11.8746995925903","0.0342999994754791",0.17
"CAPN2","12.6781997680664","0.319900006055832",0.15
