"from","to","Saliency","IntegratedGradients"
"MGAT3","MGAT4B","0.25","0.44"
"MGAT3","MGAT5","0.68","0.6"
"MGAT4B","MGAT5","1.0","1.0"
"MGAT4B","MGAT5B","0.96","0.81"
"MGAT5","MGAT5B","0.69","0.32"
